TotalFile:7626	PakTime:2023-6-20 5:5:26	PakTimeSave:6490c316	CRC:c094f7ce
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
1300	2c4f5b67	2010-11-30 20:34:4	\settings\droprate\npcdroprate175.ini	285	153	4	63646300
1301	2c578d87	2020-1-6 21:28:32	\script\skill\明教阵兵\盘木阵(偃旗).lua	1174	647	4	73e5c75b
1302	2c649add	2015-8-29 16:44:30	\script\中原二区\剑门关\trap\剑门关to伏牛山.lua	103	103	0	80bd0ea3
1303	2c794de8	2015-8-29 16:44:4	\script\online\xmas_07_viet\xmas_tree.lua	7015	2492	4	25dfe1c3
1304	2c7e5ae9	2015-8-29 16:44:44	\script\江南区\泉州府北\npc\章伟刚.lua	2866	928	4	87758c8c
1305	2c82b305	2015-8-29 16:44:26	\script\missions\nvn\3v3msg.lua	307	276	4	3a06796a
1306	2c865267	2015-8-29 16:44:44	\script\江南区\泉州\npc\杂货店老板.lua	703	442	4	394db6c4
1307	2c97af21	2020-10-18 19:37:56	\script\江南区\泉州府西\trap\泉州府西to明教.lua	107	107	0	16cc59ba
1308	2ca30cb8	2015-8-29 16:44:26	\script\missions\dixuangong\trap\trap_head.lua	118	114	4	a2ae277c
1309	2ca38892	2010-11-30 20:34:4	\settings\skill\gather\skill_chousi_gather_list.ini	4151	282	4	ee78cdf1
1310	2ca696ad	2020-1-6 21:27:26	\script\skill\明教血人\腐伤印.lua	1293	699	4	ea7410c1
1311	2cb239a6	2015-8-29 16:44:10	\script\skill\武当俗家\少阴诀.lua	1340	669	4	d9be1476
1312	2cbd649f	2010-11-30 20:34:4	\settings\npc\boss_setting\唐喜.ini	1156	584	4	aa423949
1313	2cc049cd	2015-8-29 16:43:54	\script\online\dragonboat06\trap\checkpoint47_trap.lua	462	254	4	4b1a0276
1314	2cd3cba0	2015-8-29 16:44:20	\script\item\life_neili2_sl.lua	93	93	0	61afa53b
1315	2ced9212	2015-8-29 16:44:42	\script\task\world\lizhi_扬州\task_yqs.lua	708	462	4	66e97ccf
1316	2cfabe57	2015-8-29 16:44:36	\script\online_activites\2011_02\operating\strings.lua	16939	3583	4	ecaf596
1317	2d0bb800	2014-11-25 13:37:16	\script\online\olympic.2014\npc\blue_sh.lua	2914	1236	4	24c4df30
1318	2d1db0a2	2020-3-14 23:22:30	\script\skill\npc技能\流派技能\Npc用易筋经(子2).lua	867	467	4	36bd3473
1319	2d20b703	2015-8-29 16:44:10	\script\skill\秘籍武功\凝血封魂印(招).lua	1240	653	4	f00675b5
1320	2d34e2b0	2015-8-29 16:44:48	\script\vng\weapon_upgrade\thuongungnguyensoai_change.lua	5684	1486	4	35da1ec
1321	2d3533c8	2020-6-23 16:35:38	\script\online\viet_event\200907\1\item_changshengpu.lua	1586	776	4	6508f7c9
1322	2d3a4cb9	2015-8-29 16:44:26	\script\missions\liangshan\npc\box_tong.lua	4182	1085	4	99dcc60a
1323	2d421983	2015-8-29 16:44:26	\script\missions\liangshan\stage\stagehide_1.lua	6887	2147	4	cab9a06a
1324	2d4c4407	2015-3-26 11:32:2	\settings\static_script\exchg_server\exchange_server_func.lua	15636	4776	4	ac12de56
1325	2d4ce795	2015-8-29 16:44:44	\script\newbattles\newresourcebattle\npc\newres_gods_npc.lua	410	329	4	5e832f46
1326	2d547eac	2015-8-29 16:44:8	\script\skill\决战九州\潮阳攻击.lua	1326	662	4	3c051d7a
1327	2d57cb28	2015-8-29 16:44:10	\script\skill\秘籍武功\揆天大阖棍(招).lua	1169	596	4	91b6c7a7
1328	2d5d22e9	2015-8-29 16:44:12	\script\global\特殊用地\宋辽报名点\npc\song_signup.lua	46	46	0	8fcccafd
1329	2d5e3f79	2010-11-30 20:34:4	\settings\task\chain_task\entrance_level_7.txt	179	142	4	4929114a
1330	2d60d0dc	2015-8-29 16:44:46	\script\gongcheng\prison\gaoler_npc.lua	1547	813	4	a5274b89
1331	2d703a87	2011-6-8 10:57:50	\settings\droprate\npcdroprate418.ini	304	159	4	71476f34
1332	2d72e71b	2015-8-29 16:44:10	\script\skill\武当俗家\七星诀(招子).lua	1116	597	4	416ba996
1333	2d93caea	2015-8-29 16:44:8	\script\skill\丐帮污衣\驱蛇棍法.lua	1332	703	4	76f5fcbf
1334	2da7e533	2022-8-2 11:30:4	\script\task\faction_boss\boss_baoxiang_yangmen.lua	15239	3300	4	e11346ad
1335	2db02ecc	2015-8-29 16:44:22	\script\task_access_code_def.lua	1841	1017	4	2d4f5ca3
1336	2db81c4d	2015-8-29 16:44:34	\script\pop\daily_clear.lua	584	452	4	f0cb91af
1337	2dbcd1ea	2015-8-29 16:44:46	\script\lib\task_debug.lua	1067	678	4	b6fa2df7
1338	2dc7a126	2020-1-8 0:11:26	\settings\player\charm_rank.txt	1119	271	4	2cf3a931
1339	2dcbb75d	2015-8-29 16:43:58	\script\online\3festival\item07\yuebingdalihe.lua	2337	1178	4	8447775c
1340	2dd8d6e7	2010-11-30 20:34:4	\settings\item\coin.txt	26	26	0	7927efec
1341	2ddd9b96	2010-11-30 20:34:4	\settings\task\chain_task\prize_form_23.txt	1624	331	4	ac643740
1342	2dee11ea	2010-11-30 20:34:4	\settings\droprate\npcdroprate071.ini	746	232	4	ee8fc671
1343	2df15257	2015-8-29 16:44:8	\script\skill\武当道家\流光剑法(招).lua	1213	661	4	6c9a38e6
1344	2df80cf1	2015-8-29 16:44:44	\script\江南区\泉州\npc\集灵技能.lua	7274	2764	4	fa70a168
1345	2e0a3643	2020-7-15 1:46:58	\script\online\spring2014\sp_define.lua	3935	1924	4	cdfbcb93
1346	2e0db51c	2015-8-29 16:44:38	\script\online_activites\2010_07\activites_01\item\item_shuijidan.lua	4526	1725	4	3db63d79
1347	2e105f7b	2015-8-29 16:44:32	\script\世界地图\悬星洞\npc\车夫.lua	1669	924	4	db8495fe
1348	2e1acc00	2015-8-29 16:44:10	\script\skill\外传新增\纯土神威.lua	953	541	4	15d51e58
1349	2e242d50	2015-8-29 16:44:8	\script\skill\峨嵋俗家\焚琴煮鹤诀(招1).lua	1192	675	4	45cd545
1350	2e2bb042	2015-8-29 16:44:28	\script\中原二区\冰心洞一层\trap\冰心洞一层to峨嵋.lua	102	102	0	14c70401
1351	2e39543d	2022-8-2 0:58:16	\settings\static_script\test\load.lua	568	311	4	85cccf02
1352	2e3ad4a6	2013-5-21 15:39:0	\settings\item\equip_feed\common_enhance_ef_reset_grow.txt	520	218	4	e1ceb4d3
1353	2e3f64b6	2015-8-29 16:44:24	\script\missions\dragonboat2011\npc\yqx_death.lua	814	527	4	183b8dce
1354	2e44a2fd	2015-8-29 16:44:2	\script\online\viet_event\factionboss\factionboss_death.lua	1127	541	4	4be15e27
1355	2e47eb97	2020-11-16 18:56:30	\script\online\viet_event\new_year_09\npc\feiyan_npc.lua	9679	2867	4	a24549d
1356	2e4d2ef6	2011-6-8 10:57:50	\settings\droprate\npcdroprate419.ini	324	158	4	83ab36f7
1357	2e5bd77f	2010-11-30 20:34:4	\settings\droprate\npcdropratetx001.ini	281	147	4	4323e1ac
1358	2e62393e	2015-8-29 16:44:4	\script\online\spring2014\sp_npc.lua	4664	1868	4	bb1c9df9
1359	2e63e77c	2010-11-30 20:34:4	\settings\task\random\task_kill.txt	4797	1638	4	b7c9285a
1360	2e6601c0	2020-1-12 18:45:48	\script\skill\昆仑剑尊\人剑合一.lua	1029	566	4	60bbf16d
1361	2e75655c	2015-8-29 16:44:10	\script\skill\秘籍武功\揆天大阖心法.lua	978	564	4	776ba963
1362	2e75808f	2015-8-29 16:44:26	\script\missions\liangshan\npc\box_ib2.lua	16235	4457	4	db8628aa
1363	2e84f6c2	2015-8-29 16:44:38	\script\online_activites\2011_10\activity_03\init.lua	1966	702	4	96f961aa
1364	2e8dac0f	2010-11-30 20:34:4	\settings\player\life_level_inc.txt	3718	1943	4	a8b81f28
1365	2e92cc86	2015-8-29 16:44:46	\script\gongcheng\prison\jailer_npc.lua.bak	7074	2083	4	a9876be1
1366	2e9b3976	2020-3-17 4:52:50	\script\mapsminhzao\chuongmon.lua	2532	1212	4	23502777
1367	2ea88def	2010-11-30 20:34:4	\settings\task\chain_task\prize_form_24.txt	1931	698	4	ea4a53fc
1368	2eb1937b	2010-11-30 20:34:4	\settings\npc\boss_setting\山庄内院总管50.ini	5703	1268	4	da73e94
1369	2ec0be35	2015-8-29 16:44:10	\script\skill\秘籍武功\寒冰凝血印.lua	1367	702	4	6410285
1370	2ec864d1	2010-11-30 20:34:4	\settings\skill\gather\skill_famu_gather_list.ini	4141	258	4	d789f49e
1371	2ec87f47	2015-8-29 16:44:6	\script\skill\npc技能\boss环状攻击.lua	1001	564	4	ebef24d7
1372	2ed3f160	2015-8-29 16:44:48	\script\vng\doinguyenlieu.lua	46191	7912	4	bbb64ad5
1373	2eddafad	2010-11-30 20:34:4	\settings\item\gu_insect.txt	6339	2283	4	f059c922
1374	2ee0d887	2015-8-29 16:44:34	\script\pop\npc_duanzijie.lua	2648	1109	4	58e8fca0
1375	2ee6d539	2010-11-30 20:34:4	\settings\npc\boss_setting\关卡boss1.ini	2547	536	4	fe8ab385
1376	2ef8ddb9	2020-1-12 20:23:32	\script\skill\唐门任侠\烟雨迷离(招).lua	1319	692	4	9b5999ac
1377	2f01aa59	2015-8-29 16:44:0	\script\online\春节活动\item\newyearcard10.lua	465	360	4	74bba4f4
1378	2f0e42c3	2015-8-29 16:44:2	\script\online\viet_event\200912\3\npc_shengdanshu.lua	1219	696	4	f9fd3070
1379	2f108110	2013-9-15 13:59:18	\settings\npc\boss_setting\蓝旗精地.ini	625	280	4	c4e16c9a
1380	2f1155bb	2010-11-30 20:34:4	\settings\droprate\npcdropratecj011.ini	395	170	4	c96d35d1
1381	2f16b9de	2015-8-29 16:44:2	\script\online\viet_event\pet_instance\pet_death.lua	700	421	4	956d6145
1382	2f1c0957	2015-8-29 16:44:10	\script\skill\宠物技能\火灵附体.lua	939	533	4	fa2e8ca9
1383	2f28d9bf	2015-8-29 16:44:30	\script\中原二区\剑门关\trap\剑门关to武当派.lua	101	101	0	4a54afbb
1384	2f291eee	2010-11-30 20:34:4	\settings\item\book_quality.txt	187	117	4	3a1ca6d9
1385	2f31d345	2010-11-30 20:34:4	\settings\player\reputationlevellimit.txt	1895	494	4	d0bfa82e
1386	2f33b62f	2010-11-30 20:34:4	\settings\skill\skill_activation.txt	8614	1214	4	7b012c8d
1387	2f3b0559	2010-11-30 20:34:4	\settings\droprate\npcdroprate072.ini	634	211	4	40ef5042
1388	2f490b4b	2015-8-29 16:44:0	\script\online\春节活动\item\hongbao_da.lua	2968	892	4	2d336b95
1389	2f4eb339	2015-8-29 16:44:12	\script\skill\其他\自爆免死.lua	1044	580	4	77bea1bd
1390	2f6380e2	2015-8-29 16:44:8	\script\skill\外传新增\太一塔\小机械兽爆炸.lua	1252	656	4	dcb4ea91
1391	2f693ed6	2020-11-8 4:46:14	\script\中原二区\成都\npc\抽丝学习.lua	9522	3755	4	884f6cb4
1392	2f82f361	2020-2-26 10:52:14	\script\missions\northwest_mission\npc\npc_log_in.lua	18286	5367	4	3553a0e2
1393	2f84bd40	2020-7-30 19:6:56	\script\online\3festival\emissary_npc.lua	32072	7899	4	6a6c360e
1394	2f852ae2	2015-8-29 16:43:56	\script\online\dazitie\npc\zitiext_death.lua	219	195	4	cb5755f0
1395	2fae23bd	2015-8-29 16:44:8	\script\skill\五毒蛊师\妖蛊.lua	1429	750	4	f38db9cf
1396	2faf810a	2015-8-29 16:44:8	\script\skill\决战九州\紫电攻击.lua	1315	656	4	1064342d
1397	2fbb76d8	2015-8-29 16:44:42	\script\task\function\learnJLX.lua	240	222	4	65ad426d
1398	2fc13da6	2015-8-29 16:44:12	\script\skill\峨嵋出家\不灭心法.lua	1371	708	4	c61be80d
1399	2fc35a13	2015-8-29 16:43:58	\script\online\qingrenyuanxiao\item\festivacard4_item.lua	349	303	4	7cfa222b
1400	2fc36078	2015-8-29 16:43:58	\script\online\3festival\item07\tongbox.lua	4716	1649	4	811f78a9
1401	2fcdb4fa	2015-8-29 16:44:8	\script\skill\峨嵋俗家\天音镇魂曲(子2).lua	1323	716	4	5cf3d37e
1402	2fd229fc	2010-11-30 20:34:4	\settings\task\chain_task\entrance_level_13.txt	179	142	4	4929114a
1403	2fdfcec2	2015-8-29 16:44:40	\script\task\faction_boss\gumo.lua	814	465	4	228ccf43
1404	2fe01dce	2010-11-30 20:34:4	\settings\droprate\npcdropratexb049.ini	227	145	4	e05ebb50
1405	2fe83eec	2015-8-29 16:44:10	\script\skill\翠烟舞仙\鸾凤九天免疫.lua	996	572	4	7ba9e355
1406	2ffb0d98	2010-11-30 20:34:4	\settings\task\chain_task\task_type_distributing_30.txt	486	120	4	43289cd6
1407	30012859	2020-10-21 21:1:6	\script\中原一区\汴京\npc\chuloruou.lua	34	34	0	dacb02db
1408	30044001	2014-11-25 13:37:16	\script\online\olympic.2014\oly_relay_clean.lua	613	324	4	66c3b7a9
1409	300718fb	2015-8-29 16:44:48	\script\vng\nhiemvuphucsinh2\phucsinh2.lua	6008	2088	4	eb5aec1d
1410	3022b372	2015-8-29 16:44:10	\script\skill\武当俗家\上清无极功(招2子).lua	1139	610	4	731ec755
1411	3022e0c4	2015-8-29 16:44:28	\script\中原二区\成都\npc\百晓生.lua	15744	5833	4	1cde365d
1412	3023c9ac	2015-8-29 16:44:12	\script\global\globalcallback.lua	228	147	4	350cafca
1413	302c5cca	2015-8-29 16:44:6	\script\skill\杨门弓骑\杨家碎金箭(招).lua	1259	678	4	9224d5fc
1414	303495fe	2015-8-29 16:44:44	\script\newbattles\newresourcebattle\npc\newres_dragon_npc.lua	271	227	4	db6ef0d0
1415	304eaba9	2015-8-29 16:44:18	\script\item\lifeskill\shangxian\shougengshangxian.lua	516	376	4	37beb49c
1416	3051bbf9	2021-4-6 12:48:12	\settings\npcres\魁梧男主角下身信息.txt	180384	3544	4	d67d13cd
1417	30688452	2015-3-17 16:44:42	\settings\static_script\kf_newbattles\battlestatistic.lua	14575	3517	4	1572c726
1418	308337db	2010-11-30 20:34:4	\settings\npc\boss_setting\山庄内院总管90.ini	5773	1326	4	8a9b9e3d
1419	30850701	2015-8-29 16:44:40	\script\task\item\信件.lua	774	618	4	76eea4cf
1420	30856be3	2015-3-17 16:44:42	\settings\static_script\kf_newbattles\mainbattle_primary\box_death.lua	446	283	4	6441d442
1421	308f16c9	2020-10-25 19:40:46	\script\online\collect_card\cc_head.lua	15200	3861	4	e92226f4
1422	309a7dd7	2015-8-29 16:44:10	\script\skill\宠物技能\轻灵迅疾.lua	944	536	4	59ab503d
1423	309f797f	2015-8-29 16:43:56	\script\online\dazitie\item\xiaobaolanghaobi.lua	373	277	4	87ed4298
1424	309f90a1	2015-8-29 16:44:20	\script\item\shashoumihan.lua	1101	532	4	a7c490ff
1425	309ff063	2015-8-29 16:44:42	\script\task\weekend\man_killwk.lua	1773	881	4	fe0d4980
1426	30aabae0	2020-7-15 2:29:6	\script\online\viet_event\factionboss\head_factionboss.lua	1560	780	4	e20fae92
1427	30b5d21a	2015-8-29 16:44:26	\script\missions\nvn\3v3\head.lua	19502	5354	4	590e854c
1428	30d78304	2015-8-29 16:44:10	\script\skill\少林俗家\达摩武经.lua	1071	597	4	bea6b75a
1429	30de1ab6	2010-11-30 20:34:4	\settings\droprate\npcdropratecj066.ini	394	175	4	6712db78
1430	30e0cabd	2015-8-29 16:44:32	\script\中原一区\汴京\npc\野叟.lua	11478	3771	4	cd93a35c
1431	30e475e4	2015-8-29 16:44:10	\script\skill\宠物技能\蓄力攻击.lua	939	527	4	b75d5
1432	30edb31c	2015-8-29 16:44:26	\script\missions\tianmenzhen\tmz_trap.lua	3542	1413	4	ab5f36f6
1433	30efdcf4	2015-8-29 16:44:0	\script\online\viet_event\lanhua_boss\lanhua_bag.lua	2745	1324	4	4e7a45cf
1434	30f8842e	2010-11-30 20:34:4	\settings\task\question_table.txt	138	97	4	edd938e6
1435	31054d59	2015-8-29 16:44:10	\script\skill\宠物技能\水灵附体.lua	938	532	4	ff18c21b
1436	3109b707	2010-11-30 20:34:4	\settings\droprate\npcdroprate014.ini	573	205	4	da4a724a
1437	311a8f3a	2015-8-29 16:44:6	\script\skill\npc技能\少林npc冲刺.lua	1356	642	4	ef3e7abd
1438	311d8350	2020-5-29 5:46:54	\script\skill.zip	2490964	2020714	2	797d74f
1439	31220128	2015-8-29 16:44:46	\script\gongcheng\city_manage\jiangzhangbao.lua	515	361	4	ff27d99f
1440	31227c46	2010-11-30 20:34:4	\settings\droprate\npcdropratexn057.ini	221	141	4	d7729da0
1441	3143b5e2	2020-1-6 21:28:32	\script\skill\明教阵兵\盘木阵(招).lua	1013	576	4	72175e2
1442	3144a068	2015-8-29 16:44:28	\script\中原二区\成都\npc\难民丁.lua	4223	1674	4	6741ada0
1443	3146c900	2015-3-26 11:32:2	\settings\droprate\npcdroprateshushan021.ini	331	173	4	28988483
1444	3149df3a	2015-8-29 16:44:10	\script\skill\翠烟舞仙\媚花(招).lua	1206	670	4	151bc434
1445	31525c39	2011-6-16 16:2:2	\settings\online\VnOnlineMain.ini	663	467	4	20b57cfc
1446	315fa18b	2015-8-29 16:44:42	\script\newbattles\mainbattle\mainbattle_head.lua	19254	5244	4	ccaba8ae
1447	31759f16	2015-8-29 16:44:20	\script\item\xiaojiebangfu.lua	287	249	4	506e318b
1448	3179cf18	2015-8-29 16:44:12	\script\skill\其他\龙舟自爆.lua	978	535	4	da2ddcbe
1449	318083f5	2015-8-29 16:44:48	\script\西南区\五毒教\npc\吴言.lua	12458	4549	4	e159bac1
1450	3193749e	2020-1-6 21:14:56	\script\skill\明教圣战\金炉护体.lua	1396	719	4	ce740951
1451	319c328b	2015-8-29 16:44:32	\script\世界地图\会仙岭\npc\车夫.lua	1709	969	4	d9166e1
1452	31a14cd2	2015-8-29 16:44:40	\script\task\marriage\ma_ring_bag.lua	1016	608	4	ae62c898
1453	31a2f61f	2015-8-29 16:44:8	\script\skill\五毒蛊师\养蛊秘术.lua	1733	834	4	36a7bfcd
1454	31a5461c	2015-8-29 16:44:30	\script\中原二区\襄阳\npc\钱庄老板.lua	138	138	0	d16d1db1
1455	31b5deeb	2020-11-8 0:50:54	\script\online_activites\201212\meihuashu.lua	516	405	4	117f758f
1456	31bcb89b	2015-8-29 16:44:10	\script\skill\少林俗家\达摩武经(子).lua	1462	710	4	4a0e757f
1457	31c956e5	2020-8-3 5:15:0	\script\江南区\扬州\npc\杂货店老板.lua	1661	1039	4	d8aa8f90
1458	31db3013	2015-8-29 16:44:36	\script\online_activites\2010_12\activity_05\init.lua	1016	492	4	9d079f7
1459	31dd9176	2010-11-30 20:34:4	\settings\task\chain_task\task_type_distributing_36.txt	486	120	4	43289cd6
1460	31e41358	2015-8-29 16:44:44	\script\江南区\泉州\npc\12.lua	2938	1342	4	33a82731
1461	31eca532	2015-8-29 16:44:16	\script\西北区\凤翔府\npc\唐葫芦.lua	1559	894	4	4caea22f
1462	320ce362	2010-11-30 20:34:4	\settings\npc\boss_setting\伙头军聂大锤.ini	2338	604	4	a343c84f
1463	321990c3	2015-8-29 16:44:32	\script\中原一区\阳中洞一层\trap\阳中洞一层to杏花村.lua	109	109	0	b6ffc649
1464	321b4637	2015-8-29 16:44:20	\script\item\item_yunling_qianbianquan.lua	1879	847	4	13aee54b
1465	3230056c	2015-8-29 16:44:8	\script\skill\峨嵋俗家\迷心飘香曲.lua	1835	853	4	f401a17a
1466	3233a96c	2015-8-29 16:44:38	\script\online_activites\treasure_box\string.lua	13369	2227	4	91b01959
1467	32358f27	2015-8-29 16:44:6	\script\skill\npc技能\NPC小范围血蛊.lua	1137	640	4	2f38615a
1468	32390912	2015-8-29 16:44:32	\script\世界地图\昆吾山\npc\昆吾山丝女丙.lua	270	185	4	e1c1933d
1469	324499ec	2015-8-29 16:44:40	\script\task\faction_boss\yangmen_baoguo.lua	2650	1202	4	a1a22219
1470	3246bb76	2010-11-30 20:34:4	\settings\droprate\npcdroprate015.ini	571	199	4	bc07a8b1
1471	3259ac7d	2015-3-17 16:44:42	\settings\static_script\kf_newbattles\emplacementbattle\emplacement_death.lua	1138	537	4	771e6c5
1472	3268078a	2015-8-29 16:44:30	\script\藏剑山庄\task_script\泉州\task_head.lua	79	79	0	fb6a1e22
1473	326b3047	2015-8-29 16:44:20	\script\item\battles\rescript.lua	3469	1155	4	1530573e
1474	326ce281	2015-3-17 16:44:42	\settings\static_script\kf_newbattles\liao_primary_npc.lua	183	170	4	e8d3bdb1
1475	3273d8a5	2015-8-29 16:44:10	\script\skill\少林俗家\易筋经(子18).lua	1308	687	4	da1dd8a1
1476	327d368e	2020-11-26 1:26:4	\settings\static_script\cheat\kimxa.lua	41098	7848	4	7ea80f55
1477	32840ec2	2015-8-29 16:44:38	\script\master_prentice\task_content.lua	6154	1897	4	79fbb416
1478	328d47e7	2015-8-29 16:44:32	\script\世界地图\紫桑山\npc\紫桑山猎户丁.lua	345	252	4	432311a6
1479	32aa9a4c	2015-8-29 16:44:0	\script\online\viet_event\jixiang_event\jixiang_npc.lua	8000	2261	4	39f36311
1480	32aac48b	2015-8-29 16:44:50	\script\西南区\千寻塔二层\npc\紧那罗.lua	1611	707	4	1471a6ba
1481	32ae52a4	2015-8-29 16:44:40	\script\task\world\lizhi_泉州\task_trigger.lua	3439	1168	4	c026b9c6
1482	32b37b08	2015-8-29 16:44:38	\script\online_activites\201203\kuizheng\init.lua	62	58	4	237b957f
1483	32c35df4	2015-8-29 16:44:48	\script\西南区\黑木崖\黑总管.lua	150	148	4	a4717594
1484	32d65cc8	2015-8-29 16:44:10	\script\skill\昆仑天师\冰风诀(招).lua	1521	739	4	9318673c
1485	32ef1a1e	2015-8-29 16:44:8	\script\skill\少林禅僧\不动明王咒.lua	1771	815	4	8c3bde50
1486	32f12a46	2010-11-30 20:34:4	\settings\task\chain_task\kill_monster_33.txt	24923	4294	4	4ae0a6b2
1487	32fa18b2	2015-8-29 16:44:8	\script\skill\翠烟灵女\落花诀(貂子招).lua	1032	559	4	23c30804
1488	32fb6dd1	2015-8-29 16:44:26	\script\missions\tong_mission\item\item_ziguangmibao.lua	1397	872	4	badd8b5e
1489	3306824c	2013-5-17 16:3:40	\settings\task\chain_task\prize_form_61.txt	1760	490	4	e6379d53
1490	33086a3d	2015-8-29 16:44:42	\script\task\world\lizhi_扬州\task_two_main.lua	6946	2679	4	607d415c
1491	33106a47	2015-8-29 16:44:2	\script\online\viet_event\ip_bonus\ip_manager_npc.lua.bak	52234	11822	4	31e87437
1492	331fb3b9	2015-8-29 16:44:20	\script\item\qiyue.lua	7071	2274	4	92a4b760
1493	3330ae08	2020-12-3 2:23:18	\script\online\eating\npc_wells.lua	567	291	4	274ccdb7
1494	33387eb8	2013-4-27 13:10:40	\settings\task\chain_task\entrance_level_57.txt	179	142	4	4929114a
1495	334bc3ef	2015-8-29 16:44:4	\script\online\snowbattle\npc\dialog_boss.lua	1410	621	4	f197241c
1496	335641c9	2015-8-29 16:44:36	\script\online_activites\2010_06\activites_03\head.lua	545	327	4	1bcca959
1497	3360f6d1	2015-8-29 16:44:10	\script\skill\少林俗家\易筋经(子4).lua	1307	685	4	378c169
1498	33717b92	2015-8-29 16:44:20	\script\item\qiankunjiebangfu.lua	1351	670	4	79d2d2ff
1499	33737c36	2015-8-29 16:44:12	\script\function\zq_battles\item\item_mojing.lua	951	457	4	3b798069
1500	337ae24f	2015-8-29 16:43:58	\script\online\3festival\item\sjdyb_item.lua	1027	472	4	52b94c3c
1501	337f1769	2022-8-1 22:48:34	\settings\droprate\blueboss\npcdroprate30-40.ini	4051	719	4	f7c5a567
1502	338d20e8	2015-8-29 16:44:42	\script\task\world\大理\lv20\蚩火教密函.lua	881	535	4	25c160be
1503	33919621	2010-11-30 20:34:4	\settings\droprate\npcdropratexb032.ini	225	145	4	2c9e1836
1504	33a8ae9e	2015-8-29 16:44:44	\script\江南区\泉州\npc\13.lua	1972	971	4	11805e10
1505	33b15e5d	2015-8-29 16:43:54	\script\online\dragonboat06\trap\flag\yellow_flag11.lua	2389	1107	4	6189ffcf
1506	33b1d53b	2015-8-29 16:44:42	\script\task\faction_back_room\stage_info.lua	35390	4194	4	f219ab90
1507	33c08fb7	2015-8-29 16:44:42	\script\task\weekend\item_bg02.lua	162	162	0	4928abf4
1508	33c86dfd	2010-11-30 20:34:4	\settings\droprate\npcdroprate402.ini	631	213	4	b79e853a
1509	33cb2a6a	2015-8-29 16:44:20	\script\item\lifeskill\qingxin.lua	448	338	4	c75acecf
1510	33d0e28f	2010-11-30 20:34:4	\settings\item\lifeskill\ItemInfo.txt	186	113	4	ef33505
1511	33d18c2e	2015-8-29 16:44:50	\script\西南区\武陵山脚\trap\武陵山脚to武陵山.lua	70	70	0	9baf20b6
1512	33f25746	2015-8-29 16:44:36	\script\online_activites\2010_06\activites_03\init.lua	385	243	4	c6ebb16e
1513	33f91fb3	2015-8-29 16:44:8	\script\skill\决战九州\渡魂攻击.lua	1356	673	4	aec8ed0
1514	3414fa4b	2014-5-5 19:33:56	\settings\static_script\global\tonginfo_task.lua	2738	789	4	d93f803b
1515	3419b047	2015-8-29 16:44:44	\script\newbattles\battlepoint_head.lua	13879	2005	4	8273408a
1516	341adad1	2015-8-29 16:44:36	\script\online_activites\2010_12\activites_01\item\activity_bag.lua	379	276	4	24721246
1517	34245930	2010-11-30 20:34:4	\settings\weaponeffect\weapon_effect.txt	2235	658	4	490cf482
1518	34258b4d	2015-8-29 16:44:10	\script\skill\外传新增\公孙胜闪电.lua	1167	637	4	231452c8
1519	3437c722	2015-8-29 16:44:44	\script\江南区\泉州\npc\11.lua	1782	1055	4	6a7bed7
1520	34382529	2010-11-30 20:34:4	\settings\droprate\npcdropratexn056.ini	221	141	4	214f9866
1521	343e7d5b	2015-8-29 16:43:56	\script\online\qixi08\light\light_npc.lua	3161	1173	4	cc4c8112
1522	34455b67	2015-8-29 16:44:46	\script\太虚幻境\trap_熔岩地狱.lua	904	581	4	91a319ef
1523	344d9514	2015-8-29 16:44:20	\script\item\life4_sl.lua	101	101	0	f4de60af
1524	345115c2	2015-8-29 16:44:8	\script\skill\外传新增\太一塔\机械兽爆炸(子).lua	1019	582	4	d1b9afae
1525	34587364	2015-8-29 16:44:24	\script\missions\yp\hss\mission.lua	19716	5972	4	420b3d5d
1526	346017f3	2015-3-27 13:4:24	\settings\npc\npc_replace_name_old.txt	21539	9747	4	e1e6487d
1527	3460a666	2015-8-29 16:44:34	\script\pop\2012\liaoguo_cike_npc.lua	64	64	0	25632761
1528	3465d28b	2015-8-29 16:44:30	\script\中原二区\乌蒙部\trap\乌蒙部to成都府南.lua	103	103	0	51712441
1529	347e57bf	2020-1-12 20:22:46	\script\skill\唐门任侠\杀意.lua	1608	745	4	c195d03f
1530	347e9d82	2020-3-3 21:15:16	\script\misc\taskmanager.lua.bak	14017	2278	4	6a60cbb9
1531	348d15b9	2015-8-29 16:44:4	\script\online\item_buchang\box_small.lua	1291	687	4	70f8782f
1532	34914eb5	2015-8-29 16:44:14	\script\北区\雁门关\npc\宋军护卫队长.lua	1475	887	4	c34b201a
1533	34918a22	2015-8-29 16:44:18	\script\西北区\龙门镇\trap\龙门镇to凤翔府.lua	206	206	0	a5fc75a1
1534	349bc78c	2015-8-29 16:44:22	\script\missions\bw\single_team_death.lua	516	303	4	c2dbf97c
1535	34a4c6e1	2020-1-12 18:45:16	\script\skill\昆仑剑尊\剑守空明(灵剑).lua	1267	671	4	46d7b032
1536	34b24c62	2020-3-3 5:6:10	\script\online\plant\seed_item_xiao.lua	4553	2007	4	908132af
