Tªn yÕu quyÕt	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Sè thø tù mËt tŞch	L­u	id kü n¨ng (dïng ph¸n ®o¸n lo¹i trõ)	L­u2	L­u3	L­u4	L­u5	L­u6	L­u7	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)8	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	L­u ( Ch÷ sè)9	L­u ph¸i (L­u ph¸i id. Kh«ng ®iÒn hoÆc mÆc ®Şnh sè nhá h¬n 0 ®Òu cã thÓ t¶i)	L­u ( Ch÷ sè)10	Column11
§¹i Bi quyÕt	2	6	59	1	1	1	59		88									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>§¹i Bi quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gi¶m thêi gian gi¶n c¸ch, T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		8		
Tïy Khóc quyÕt	2	6	60	1	1	1	60		91									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Tïy Khóc quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Cã x¸c xuÊt ®¸nh lui môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
Khóc NghÖ quyÕt	2	6	61	1	1	1	61		92									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Khóc NghÖ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp môc tiªu khi thi triÓn vâ c«ng, tû lÖ néi ngo¹i phßng t¨ng cao		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
NguyÖt Thùc Khóc quyÕt	2	6	62	1	1	1	62		93									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>NguyÖt Thùc Khóc quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ cña CÇm		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
§o¹n Thñy quyÕt	2	6	63	1	1	1	63		94									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>§o¹n Thñy quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
TÜnh D¹ T­ quyÕt	2	6	64	1	1	1	64		95									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>TÜnh D¹ T­ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ cña CÇm,cã x¸c xuÊt khi cÇm bŞ ng¾t qu¶ng khiÕn kÎ thï bŞ tæn thÊt 5% sinh lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
D­ NhiÔu quyÕt	2	6	65	1	1	1	65		96									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>D­ NhiÔu quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> gi¶m thêi gian ®éng t¸c thä th­¬ng, khi bŞ c«ng kİch cã tû lÖ gia tèc 30% trong 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
D­¬ng Tam quyÕt	2	6	66	1	1	1	66		97									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>D­¬ng Tam quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ cña CÇm,cã x¸c xuÊt khi cÇm bŞ ng¾t qu¶ng khiÕn kÎ thï bŞ tæn thÊt 5% sinh lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
Phóc Thñy ph¸p	2	6	67	1	1	1	67		98									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Phóc Thñy ph¸p<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tû lÖ khëi ®éng chiªu thøc 1 cña khóc cÇm lËp l¹i 		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
PhÉn CÇm quyÕt	2	6	68	1	1	1	68		99									\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	<color=gold>PhÉn CÇm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch#T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
¤ D¹ §Ò quyÕt	2	6	69	1	1	1	69		100									\image\item\book\jue_007a1.spr	\image\item\book\jue_007a0.spr	<color=gold>¤ D¹ §Ò quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ cña CÇm, cã x¸c xuÊt ®¸nh lui kÎ thï c«ng kİch khi ®¸nh ®µn 		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
Mª T©m Khóc quyÕt	2	6	70	1	1	1	70		101									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Mª T©m Khóc quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		9		
C¸i Bang Ch­ëng quyÕt	2	6	71	1	1	1	71		104									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>C¸i Bang Ch­ëng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng B¸ V­¬ng QuyÒn, Lôc Hîp QuyÒn, ph¹m vi thi triÓn cña Táa HÇu CÇm N· Thñ		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Th«ng Tı quyÕt	2	6	72	1	1	1	72		105									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Th«ng Tı quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>T¨ng lùc c«ng kİch ngo¹i c«ng c¬ b¶n		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Thiªn C©n quyÕt	2	6	73	1	1	1	73		106									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Thiªn C©n quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Khi bŞ c«ng kİch cã x¸c xuÊt miÔn dŞch ®¸nh ng·, lo¹n, cho¸ng, h«n mª trong 4 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
B¸ V­¬ng quyÕt	2	6	74	1	1	1	74		107									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>B¸ V­¬ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>KhiÕn môc tiªu gi¶m tû lÖ phßng ngù néi ngo¹i c«ng trong 10 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Táa HÇu Thñ quyÕt	2	6	75	1	1	1	75		108									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Táa HÇu Thñ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Tiªu Dao Du quyÕt	2	6	76	1	1	1	76		109									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Tiªu Dao Du quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Khi bŞ tÊn c«ng cã x¸c xuÊt t¨ng tèc 30% trong 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Lôc Hîp 	2	6	77	1	1	1	77		110									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Lôc Hîp <color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Tóy §iÖp	2	6	78	1	1	1	78		111									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=gold>Tóy §iÖp<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KhiÕn tÊt c¶ c«ng kİch ®Òu cã x¸c xuÊt gi©y cho¸n 1 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
Tóy QuyÒn	2	6	79	1	1	1	79		112									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>Tóy QuyÒn<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		11		
C¸i Bang C«n quyÕt	2	6	80	1	1	1	80		115									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>C¸i Bang C«n quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> T¨ng tèc ®é thi triÓn Kh­u Xµ C«n Ph¸p, §¶ CÈu C«n Ph¸p		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Khu Xµ quyÕt	2	6	81	1	1	1	81		116									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Khu Xµ quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
KhÊt Th¶o quyÕt	2	6	82	1	1	1	82		117									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>KhÊt Th¶o quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tû lÖ phßng ngù néi ngo¹i c«ng trong tr¹ng th¸i xin xá		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Nª Thu quyÕt	2	6	83	1	1	1	83		118									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Nª Thu quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Cã x¸c xuÊt tr¸nh hiÖu qu¶ ®Şnh th©n		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
DiÖu Thñ QuyÕt	2	6	84	1	1	1	84		119									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>DiÖu Thñ QuyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Cã x¸c xuÊt khãa chiªu môc tiªu trong 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Th©u ChuyÓn quyÕt	2	6	85	1	1	1	85		120									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Th©u ChuyÓn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> KĞo dµi thêi gian duy tr× khi sö dông kü n¨ng trém c¾p		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
T¹ Gi¸p quyÕt	2	6	86	1	1	1	86		121									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=gold>T¹ Gi¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> GI¶m ®iÓm phßng ngù néi ngo¹i c«ng cña môc tiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Th©u Ho¸n quyÕt	2	6	87	1	1	1	87		122									\image\item\book\jue_006a1.spr	\image\item\book\jue_006a0.spr	<color=gold>Th©u Ho¸n quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> T¨ng tèc ®é xuÊt chiªu khi sö dông kü n¨ng tr«m c¾p		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
§¶ CÈu quyÕt	2	6	88	1	1	1	88		123									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>§¶ CÈu quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		12		
Vâ §ang KiÕm quyÕt	2	6	89	1	1	1	89		126									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Vâ §ang KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> t¨ng lùc c«ng kİch néi c«ng c¬ b¶n		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
L­u Quang KiÕm quyÕt	2	6	90	1	1	1	90		127									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>L­u Quang KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
VŞ ¦¬ng KiÕm quyÕt	2	6	91	1	1	1	91		128									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>VŞ ¦¬ng KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tèc trong 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Nhu V©n KiÕm quyÕt	2	6	92	1	1	1	92		129									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Nhu V©n KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tèc trong 2 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
LiÖt DiÖm KiÕm quyÕt	2	6	93	1	1	1	93		130									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>LiÖt DiÖm KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
B«n Ph¸p quyÕt	2	6	94	1	1	1	94		131									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>B«n Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> KhiÕn môc tiªu gi¶m tû lÖ phßng ngù néi c«ng trong 5 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
V« Ng· Ph¸p quyÕt	2	6	95	1	1	1	95		132									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>V« Ng· Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu, cã x¸c xuÊt ph¶n ®ßn khi bŞ tÊn c«ng		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Th¸i Thanh KiÕm quyÕt	2	6	96	1	1	1	96		133									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Th¸i Thanh KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
TriÒn KiÕm quyÕt	2	6	97	1	1	1	97		134									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>TriÒn KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, gi¶m néi lùc tiªu hao		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
L¹c KiÕm quyÕt	2	6	98	1	1	1	98		135									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>L¹c KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, gi¶m néi lùc tiªu hao		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Tİch D­¬ng KiÕm quyÕt	2	6	99	1	1	1	99		136									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Tİch D­¬ng KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tèc ®é xuÊt chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
HuyÒn KiÕm TrËn quyÕt	2	6	100	1	1	1	100		137									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>HuyÒn KiÕm TrËn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> KĞo dµi thêi gian duy tr×, gi¶m néi lùc tiªu hao		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Ngù KiÕm quyÕt	2	6	101	1	1	1	101		138									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>Ngù KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Chİnh L­ìng kiÕm quyÕt	2	6	102	1	1	1	102		139									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>Chİnh L­ìng kiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Th¸i Êt KiÕm quyÕt	2	6	103	1	1	1	103		140									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=gold>Th¸i Êt KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
ThËp Tam KiÕm quyÕt	2	6	104	1	1	1	104		141									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=gold>ThËp Tam KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
HuyÒn ¢m KiÕm quyÕt	2	6	105	1	1	1	105		142									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=gold>HuyÒn ¢m KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Thiªn ThuÇn kiÕm quyÕt	2	6	106	1	1	1	106		143									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=gold>Thiªn ThuÇn kiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
B¸t Qu¸i KiÕm quyÕt	2	6	107	1	1	1	107		144									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=gold>B¸t Qu¸i KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
ThÊt TiÖt KiÕm quyÕt	2	6	108	1	1	1	108		145									\image\item\book\jue_009a1.spr	\image\item\book\jue_009a0.spr	<color=gold>ThÊt TiÖt KiÕm quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch néi c«ng chñ ®éng<enter><enter><color=Gold> Trong ph¹m vi xuÊt hiÖn ThÊt Tinh tÊt c¶ môc tiªu bŞ gi¶m tèc ®é di chuyÓn		QuyÕt YÕu	\script\item\addenda.lua	7	0		14		
Bót Ph¸p quyÕt	2	6	109	1	1	1	109		148									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Bót Ph¸p quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> TÊt c¶ c«ng kİch ®Òu cã x¸c xuÊt khiÕn môc tiªu tª liÖt 3 gi©y		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Th¸i Tiªu C«ng quyÕt	2	6	110	1	1	1	110		149									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>Th¸i Tiªu C«ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Gi¶m ¶nh h­ëng hiÖu qu¶ gi¶m tèc		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Lôc Hãa C«ng quyÕt	2	6	111	1	1	1	111		150									\image\item\book\jue_002a1.spr	\image\item\book\jue_002a0.spr	<color=gold>Lôc Hãa C«ng quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî thuéc tİnh phßng ngù<enter><enter><color=Gold> Gióp môc tiªu gi¶m s¸t th­¬ng cña ®éc trong 1 kho¶n thêi gian nhÊt ®Şnh		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
ThÕ V©n Tung quyÕt	2	6	112	1	1	1	112		151									\image\item\book\jue_003a1.spr	\image\item\book\jue_003a0.spr	<color=gold>ThÕ V©n Tung quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> T¨ng tû lÖ phßng ngù néi ngo¹i c«ng trong qu¸ tr×nh ®»ng v©n		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
ThÊt Tinh TrËn	2	6	113	1	1	1	113		152									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>ThÊt Tinh TrËn<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
ThiÕu D­¬ng QuyÕt	2	6	114	1	1	1	114		153									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>ThiÕu D­¬ng QuyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>T¨ng tû lÖ khëi ®éng chiªu thøc 1#T¨ng lùc c«ng kİch		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
ThiÕu ¢m QuyÕt	2	6	115	1	1	1	115		154									\image\item\book\jue_011a1.spr	\image\item\book\jue_011a0.spr	<color=gold>ThiÕu ¢m QuyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold> më réng ph¹m vi c«ng kİch,  t¨ng tèc ®é thu chiªu		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
B¾c §Èu TrËn quyÕt	2	6	116	1	1	1	116		155									\image\item\book\jue_010a1.spr	\image\item\book\jue_010a0.spr	<color=gold>B¾c §Èu TrËn quyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>Hç trî c«ng kİch<enter><enter><color=Gold> Më réng ph¹m vi hiÖu qu¶ vßng s¸ng, gi¶m tiªu hao néi lùc		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
Tµn ¶nh QuyÕt	2	6	117	1	1	1	117		156									\image\item\book\jue_005a1.spr	\image\item\book\jue_005a0.spr	<color=gold>Tµn ¶nh QuyÕt<color><enter>HiÖu lùc trªn trang phô lôc mËt tŞch<enter><enter>HÖ c«ng kİch ngo¹i c«ng chñ ®éng<enter><enter><color=Gold>Gi¶m thêi gian gi¶n c¸ch		QuyÕt YÕu	\script\item\addenda.lua	7	0		15		
