Tªn M·o	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	Sè trang bÞ	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dÞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27	Column28	Column29	Column30	Column31	Column32	Column33	Column34	Column35	Column36	Column37	Column38	Column39	Column40	Column41	Column42	Column43	Column44	Column45	Column46	Column47	Column48	Column49	Column50	Column51	Column52	Column53	Column54	Column55	Column56	Column57	Column58	Column59	Column60	Column61	Column62	Column63	Column64	Column65	Column66
Thiªn ¢m Th¸nh N÷ PhËt VËn KÕ	0	103	942	30	40000	0	200	23;23					9042	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>Thiªn ¢m Th¸nh N÷ PhËt VËn KÕ<color><enter>Thiªn bæn v« h×nh, l¹c bæn v« ©m, x­a kia §øc PhËt niªm hoa tu ®­îc phËt ©m biÓu thÞ ch¸nh qu¶. TruyÒn PhËt VËt KÕ phong lµm Thiªn ¢m Th¸nh n÷	½¿Ð¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	9	0																																																																							
ChÊp Ph¸p Phï T«n C©n	0	103	1141	30	40000	0	200	25;17					11041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>ChÊp Ph¸p Phï T«n C©n<color><enter>C¸i Bang TÞnh Y ®Ö tö, c«ng chÝnh liªm minh, truyÒn ChÊp ph¸p tr­ëng l·o ®Ó gi÷ ph¸p kû vµ ban Phï T«n C©n	±ê×¼ÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0																																																																							
ChÊp Ph¸p Phï T«n C©n	0	103	1142	30	40000	0	200	25;17					11042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>ChÊp Ph¸p Phï T«n C©n<color><enter>C¸i Bang TÞnh Y ®Ö tö, c«ng chÝnh liªm minh, truyÒn ChÊp ph¸p tr­ëng l·o ®Ó gi÷ ph¸p kû vµ ban Phï T«n C©n	¿ýÎàÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0																																																																							
ChÊp Ph¸p Phï T«n C©n	0	103	1143	30	40000	0	200	25;17					11043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>ChÊp Ph¸p Phï T«n C©n<color><enter>C¸i Bang TÞnh Y ®Ö tö, c«ng chÝnh liªm minh, truyÒn ChÊp ph¸p tr­ëng l·o ®Ó gi÷ ph¸p kû vµ ban Phï T«n C©n	ÐÔ¸ÐÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0																																																																							
ChÊp Ph¸p Phï T«n C©n	0	103	1144	30	40000	0	200	25;17					11044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>ChÊp Ph¸p Phï T«n C©n<color><enter>C¸i Bang TÞnh Y ®Ö tö, c«ng chÝnh liªm minh, truyÒn ChÊp ph¸p tr­ëng l·o ®Ó gi÷ ph¸p kû vµ ban Phï T«n C©n	½¿Ð¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0																																																																							
Ch­ëng Bæng Long Chóng C©n	0	103	1241	30	40000	0	200	23;23					12041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>Ch­ëng Bæng Long Chóng C©n<color><enter>C¸i Bang du hiÖp tr­îng nghÜa ®­îc b¸ t¸nh yªu mÕn, truyÒn Ch­ëng Bæng Tr­ëng L·o, gi÷ §¶ CÈu Bæng ®Ó b¶o vÖ bæn bang vµ ban Long Chóng §Çu C©n	±ê×¼ÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0																																																																							
Ch­ëng Bæng Long Chóng C©n	0	103	1242	30	40000	0	200	23;23					12042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>Ch­ëng Bæng Long Chóng C©n<color><enter>C¸i Bang du hiÖp tr­îng nghÜa ®­îc b¸ t¸nh yªu mÕn, truyÒn Ch­ëng Bæng Tr­ëng L·o, gi÷ §¶ CÈu Bæng ®Ó b¶o vÖ bæn bang vµ ban Long Chóng §Çu C©n	¿ýÎàÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0																																																																							
Ch­ëng Bæng Long Chóng C©n	0	103	1243	30	40000	0	200	23;23					12043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>Ch­ëng Bæng Long Chóng C©n<color><enter>C¸i Bang du hiÖp tr­îng nghÜa ®­îc b¸ t¸nh yªu mÕn, truyÒn Ch­ëng Bæng Tr­ëng L·o, gi÷ §¶ CÈu Bæng ®Ó b¶o vÖ bæn bang vµ ban Long Chóng §Çu C©n	ÐÔ¸ÐÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0																																																																							
Ch­ëng Bæng Long Chóng C©n	0	103	1244	30	40000	0	200	23;23					12044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>Ch­ëng Bæng Long Chóng C©n<color><enter>C¸i Bang du hiÖp tr­îng nghÜa ®­îc b¸ t¸nh yªu mÕn, truyÒn Ch­ëng Bæng Tr­ëng L·o, gi÷ §¶ CÈu Bæng ®Ó b¶o vÖ bæn bang vµ ban Long Chóng §Çu C©n	½¿Ð¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0																																																																							
Th­îng Thanh ThÇn Kh«ng C©n	0	103	1441	30	40000	0	200	17;25					14041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>Th­îng Thanh ThÇn Kh«ng C©n<color><enter>Vâ §ang ®¹o gia ®Ö tö, víi Th¸i Cùc chi ®¹o ®­îc tiªn thiªn ch©n khÝ, dÜ thÇn ngù kiÕm khÝ, ®­îc phong Th­îng Thanh Ch©n Nh©n vµ ban ThÇn Kh«ng Ph¸p C©n	±ê×¼ÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0																																																																							
Th­îng Thanh ThÇn Kh«ng C©n	0	103	1442	30	40000	0	200	17;25					14042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>Th­îng Thanh ThÇn Kh«ng C©n<color><enter>Vâ §ang ®¹o gia ®Ö tö, víi Th¸i Cùc chi ®¹o ®­îc tiªn thiªn ch©n khÝ, dÜ thÇn ngù kiÕm khÝ, ®­îc phong Th­îng Thanh Ch©n Nh©n vµ ban ThÇn Kh«ng Ph¸p C©n	¿ýÎàÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0																																																																							
Th­îng Thanh ThÇn Kh«ng C©n	0	103	1443	30	40000	0	200	17;25					14043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>Th­îng Thanh ThÇn Kh«ng C©n<color><enter>Vâ §ang ®¹o gia ®Ö tö, víi Th¸i Cùc chi ®¹o ®­îc tiªn thiªn ch©n khÝ, dÜ thÇn ngù kiÕm khÝ, ®­îc phong Th­îng Thanh Ch©n Nh©n vµ ban ThÇn Kh«ng Ph¸p C©n	ÐÔ¸ÐÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0																																																																							
Th­îng Thanh ThÇn Kh«ng C©n	0	103	1444	30	40000	0	200	17;25					14044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>Th­îng Thanh ThÇn Kh«ng C©n<color><enter>Vâ §ang ®¹o gia ®Ö tö, víi Th¸i Cùc chi ®¹o ®­îc tiªn thiªn ch©n khÝ, dÜ thÇn ngù kiÕm khÝ, ®­îc phong Th­îng Thanh Ch©n Nh©n vµ ban ThÇn Kh«ng Ph¸p C©n	½¿Ð¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0																																																																							
Tö Tiªu Ngù Kh«ng C©n	0	103	1541	30	40000	0	200	17;25					15041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>Tö Tiªu Ngù Kh«ng C©n<color><enter>Vâ §ang tôc gia ®­îc phong Tö H¹ Th­îng Nh©n vµ ban Ngù Kh«ng C©n	±ê×¼ÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0																																																																							
Tö Tiªu Ngù Kh«ng C©n	0	103	1542	30	40000	0	200	17;25					15042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>Tö Tiªu Ngù Kh«ng C©n<color><enter>Vâ §ang tôc gia ®­îc phong Tö H¹ Th­îng Nh©n vµ ban Ngù Kh«ng C©n	¿ýÎàÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0																																																																							
Tö Tiªu Ngù Kh«ng C©n	0	103	1543	30	40000	0	200	17;25					15043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>Tö Tiªu Ngù Kh«ng C©n<color><enter>Vâ §ang tôc gia ®­îc phong Tö H¹ Th­îng Nh©n vµ ban Ngù Kh«ng C©n	ÐÔ¸ÐÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0																																																																							
Tö Tiªu Ngù Kh«ng C©n	0	103	1544	30	40000	0	200	17;25					15044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>Tö Tiªu Ngù Kh«ng C©n<color><enter>Vâ §ang tôc gia ®­îc phong Tö H¹ Th­îng Nh©n vµ ban Ngù Kh«ng C©n	½¿Ð¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0																																																																							
TrÊn Qu©n V« Song ChiÕn Kh«i	0	103	1741	30	40000	0	200	23;23					17041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>TrÊn Qu©n V« Song ChiÕn Kh«i<color><enter>D­¬ng M«n th­¬ng kþ dòng m·nh trªn sa tr­êng, phong TrÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Kh«i	±ê×¼ÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0																																																																							
TrÊn Qu©n V« Song ChiÕn Kh«i	0	103	1742	30	40000	0	200	23;23					17042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>TrÊn Qu©n V« Song ChiÕn Kh«i<color><enter>D­¬ng M«n th­¬ng kþ dòng m·nh trªn sa tr­êng, phong TrÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Kh«i	¿ýÎàÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0																																																																							
TrÊn Qu©n V« Song ChiÕn Kh«i	0	103	1743	30	40000	0	200	23;23					17043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>TrÊn Qu©n V« Song ChiÕn Kh«i<color><enter>D­¬ng M«n th­¬ng kþ dòng m·nh trªn sa tr­êng, phong TrÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Kh«i	ÐÔ¸ÐÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0																																																																							
TrÊn Qu©n V« Song ChiÕn Kh«i	0	103	1744	30	40000	0	200	23;23					17044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>TrÊn Qu©n V« Song ChiÕn Kh«i<color><enter>D­¬ng M«n th­¬ng kþ dòng m·nh trªn sa tr­êng, phong TrÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Kh«i	½¿Ð¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0																																																																							
Chinh Lç B¸ Gi¶ ChiÕn Kh«i	0	103	1841	30	40000	0	200	17;25					18041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>Chinh Lç B¸ Gi¶ ChiÕn Kh«i<color><enter>D­¬ng M«n Cung Ph¸p xuÊt chiªu nh­ vò b·o, b¸ khÝ uy hiÕp c¶ sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Kh«i	±ê×¼ÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0																																																																							
Chinh Lç B¸ Gi¶ ChiÕn Kh«i	0	103	1842	30	40000	0	200	17;25					18042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>Chinh Lç B¸ Gi¶ ChiÕn Kh«i<color><enter>D­¬ng M«n Cung Ph¸p xuÊt chiªu nh­ vò b·o, b¸ khÝ uy hiÕp c¶ sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Kh«i	¿ýÎàÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0																																																																							
Chinh Lç B¸ Gi¶ ChiÕn Kh«i	0	103	1843	30	40000	0	200	17;25					18043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>Chinh Lç B¸ Gi¶ ChiÕn Kh«i<color><enter>D­¬ng M«n Cung Ph¸p xuÊt chiªu nh­ vò b·o, b¸ khÝ uy hiÕp c¶ sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Kh«i	ÐÔ¸ÐÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0																																																																							
Chinh Lç B¸ Gi¶ ChiÕn Kh«i	0	103	1844	30	40000	0	200	17;25					18044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>Chinh Lç B¸ Gi¶ ChiÕn Kh«i<color><enter>D­¬ng M«n Cung Ph¸p xuÊt chiªu nh­ vò b·o, b¸ khÝ uy hiÕp c¶ sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Kh«i	½¿Ð¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0																																																																							
Diªm La T«n Gi¶ Ma Hån C©n	0	103	2041	30	40000	0	200	23;23					20041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>Diªm La T«n Gi¶ Ma Hån C©n<color><enter>Ngò §éc tµ hiÖp dïng ®éc thuËt ma hån tÕ Diªm La, ®­îc phong Diªm La T«n Gi¶ vµ ban Ma Hån C©n	±ê×¼ÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0																																																																							
Diªm La T«n Gi¶ Ma Hån C©n	0	103	2042	30	40000	0	200	23;23					20042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>Diªm La T«n Gi¶ Ma Hån C©n<color><enter>Ngò §éc tµ hiÖp dïng ®éc thuËt ma hån tÕ Diªm La, ®­îc phong Diªm La T«n Gi¶ vµ ban Ma Hån C©n	¿ýÎàÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0																																																																							
Diªm La T«n Gi¶ Ma Hån C©n	0	103	2043	30	40000	0	200	23;23					20043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>Diªm La T«n Gi¶ Ma Hån C©n<color><enter>Ngò §éc tµ hiÖp dïng ®éc thuËt ma hån tÕ Diªm La, ®­îc phong Diªm La T«n Gi¶ vµ ban Ma Hån C©n	ÐÔ¸ÐÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0																																																																							
Diªm La T«n Gi¶ Ma Hån C©n	0	103	2044	30	40000	0	200	23;23					20044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>Diªm La T«n Gi¶ Ma Hån C©n<color><enter>Ngò §éc tµ hiÖp dïng ®éc thuËt ma hån tÕ Diªm La, ®­îc phong Diªm La T«n Gi¶ vµ ban Ma Hån C©n	½¿Ð¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0																																																																							
Cæ §éc T«n Gi¶ PhÖ Thiªn C©n	0	103	2141	30	40000	0	200	17;25					21041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>Cæ §éc T«n Gi¶ PhÖ Thiªn C©n<color><enter>Ngò §éc cæ s­ chÕ ®éc xuÊt thÇn nhËp hãa, ®­îc phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn C©n	±ê×¼ÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0																																																																							
Cæ §éc T«n Gi¶ PhÖ Thiªn C©n	0	103	2142	30	40000	0	200	17;25					21042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>Cæ §éc T«n Gi¶ PhÖ Thiªn C©n<color><enter>Ngò §éc cæ s­ chÕ ®éc xuÊt thÇn nhËp hãa, ®­îc phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn C©n	¿ýÎàÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0																																																																							
Cæ §éc T«n Gi¶ PhÖ Thiªn C©n	0	103	2143	30	40000	0	200	17;25					21043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>Cæ §éc T«n Gi¶ PhÖ Thiªn C©n<color><enter>Ngò §éc cæ s­ chÕ ®éc xuÊt thÇn nhËp hãa, ®­îc phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn C©n	ÐÔ¸ÐÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0																																																																							
Cæ §éc T«n Gi¶ PhÖ Thiªn C©n	0	103	2144	30	40000	0	200	17;25					21044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>Cæ §éc T«n Gi¶ PhÖ Thiªn C©n<color><enter>Ngò §éc cæ s­ chÕ ®éc xuÊt thÇn nhËp hãa, ®­îc phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn C©n	½¿Ð¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0																																																																							
Hång M«ng Ch©n Nh©n - HuyÒn Thanh §Çu Qu¸n	0	103	23141	30	40000	0	200	17;25					23141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>Hång M«ng Ch©n Nh©n - HuyÒn Thanh §Çu Qu¸n<color><enter>Nãn ®­îc dïng khi Hång Méng Ch©n Nh©n hµn yªu phôc ma, tö sa linh khÝ nh­ Èn hiÖn xung quanh, khiÕn ma qu¸i võa nh×n ®· sî. Tªn lµ HuyÒn Thanh.	±ê×¼ÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	23	0																																																																							
Hång M«ng Ch©n Nh©n - HuyÒn Thanh §Çu Qu¸n	0	103	23142	30	40000	0	200	17;25					23142	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>Hång M«ng Ch©n Nh©n - HuyÒn Thanh §Çu Qu¸n<color><enter>Nãn ®­îc dïng khi Hång Méng Ch©n Nh©n hµn yªu phôc ma, tö sa linh khÝ nh­ Èn hiÖn xung quanh, khiÕn ma qu¸i võa nh×n ®· sî. Tªn lµ HuyÒn Thanh.	¿ýÎàÄÐÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	23	0																																																																							
Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n	0	103	25141	30	20000	0	200	25;17					25141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n<color><enter>Kim Mao S­ V­¬ng nhê cã §å Long B¶o §ao mµ danh chÊn thiªn h¹, ng­êi ®êi ch­a ®­îc gÆp mÆt nh­ng ®É biÕt dung m¹o cña y, ®Çu kh«i y mang lÊy §å Long ®Ó ®Æt tªn	±ê×¼ÄÐÍ·²¿004	§· khãa		9	2	1	25	0	999																																																																						
Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n	0	103	25142	30	20000	0	200	25;17					25142	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	<color=gold>Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n<color><enter>Kim Mao S­ V­¬ng nhê cã §å Long B¶o §ao mµ danh chÊn thiªn h¹, ng­êi ®êi ch­a ®­îc gÆp mÆt nh­ng ®É biÕt dung m¹o cña y, ®Çu kh«i y mang lÊy §å Long ®Ó ®Æt tªn	¿ýÎàÄÐÍ·²¿013	§· khãa		9	2	1	25	0	999																																																																						
Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n	0	103	25143	30	20000	0	200	25;17					25143	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	<color=gold>Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n<color><enter>Kim Mao S­ V­¬ng nhê cã §å Long B¶o §ao mµ danh chÊn thiªn h¹, ng­êi ®êi ch­a ®­îc gÆp mÆt nh­ng ®É biÕt dung m¹o cña y, ®Çu kh«i y mang lÊy §å Long ®Ó ®Æt tªn	ÐÔ¸ÐÅ®Í·²¿021	§· khãa		9	2	1	25	0	999																																																																						
Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n	0	103	25144	30	20000	0	200	25;17					25144	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	<color=gold>Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n<color><enter>Kim Mao S­ V­¬ng nhê cã §å Long B¶o §ao mµ danh chÊn thiªn h¹, ng­êi ®êi ch­a ®­îc gÆp mÆt nh­ng ®É biÕt dung m¹o cña y, ®Çu kh«i y mang lÊy §å Long ®Ó ®Æt tªn	½¿Ð¡Å®Í·²¿008	§· khãa		9	2	1	25	0	999																																																																						
B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n	0	103	26141	30	20000	0	200	23;23					26141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	<color=gold>B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n<color><enter>B¹ch Mi ¦ng V­¬ng ®¹i nghÜa lÉm nhiªn, thiÕt huyÕt ®¬n t©m, ®­îc x­ng lµ hãa th©n cña Quang Minh, C©n cña y ®­îc ®Æt tªn theo Quang Minh	±ê×¼ÄÐÍ·²¿004	§· khãa		9	2	1	26	0	999																																																																						
