Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)2	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Bao Thiªn Th¹ch	2	1	1050	1	0	1												\image\item\other\´ò°üµÄÔÉÌú(x).spr	\image\item\other\´ò°üµÄÔÉÌú(d).spr	<color=gold>Bao Thiªn Th¹ch<color><enter>Thiªn Th¹ch_lín<enter><color=Gold>(chøa 100 Thiªn Th¹ch)		ThÇn bİ	\script\item\item_billing\dabaoyuntie.lua	1	0	1							
Bao tinh th¹ch Thiªn Th¹ch	2	1	1051	1	0	1												\image\item\other\´ò°üµÄÔÉÌú¾«Ê¯(x).spr	\image\item\other\´ò°üµÄÔÉÌú¾«Ê¯(d).spr	<color=gold>Bao tinh th¹ch Thiªn Th¹ch<color><enter>Tinh th¹ch Thiªn Th¹ch_lín<enter><color=Gold>(chøa 100 Thiªn Th¹ch)		ThÇn bİ	\script\item\item_billing\dabaoyuntiejingshi.lua	1	0	1							
Bång Lai Lé Thñy	2	1	1052	1	0	1												\image\item\other\ÅîÀ³ÏÉË®a1.spr	\image\item\other\ÅîÀ³ÏÉË®a0.spr	<color=gold>Bång Lai Lé Thñy<color><enter>Lé thñy ®Õn tõ Bång Lai tiªn ®¶o.<enter><color=Gold> §¸nh qu¸i nh©n 1.2 kinh nghiÖm trong 2 giê		ThÇn bİ	\script\item\xiancao.lua	1	0	1							
Phong lÖnh-s¬ cÊp	2	1	1053	1	0	1												\image\item\other\quest_008a1.spr	\image\item\other\quest_008a0.spr	<color=gold>Phong lÖnh-s¬ cÊp<color><enter>V¨n th­ Ch­ëng m«n bæ nhiÖm ®Ö tö s¬ cÊp.<enter><color=Gold>(chøa danh hiÖu s¬ cÊp cña s­ m«n, khi ph¸t s¸ng n¨ng lùc chñ yÕu+5, duy tr× 1 th¸ng, cÇn 80 ®é cèng hiÕn)		ThÇn bİ	\script\item\item_billing\chenghao\menpailei.lua	1	0	1							
Phong lÖnh-trung cÊp	2	1	1054	1	0	1												\image\item\other\quest_008a1.spr	\image\item\other\quest_008a0.spr	<color=gold>Phong lÖnh-trung cÊp<color><enter>V¨n th­ Ch­ëng m«n bæ nhiÖm ®Ö tö trung cÊp.<enter><color=Gold>(chøa danh hiÖu trung cÊp cña s­ m«n, khi ph¸t s¸ng n¨ng lùc chñ yÕu+10, duy tr× 1 th¸ng, cÇn 3000 ®é cèng hiÕn)		ThÇn bİ	\script\item\item_billing\chenghao\menpailei.lua	1	0	1							
Phong lÖnh-tèi cao	2	1	1055	1	0	1												\image\item\other\quest_008a1.spr	\image\item\other\quest_008a0.spr	<color=gold>Phong lÖnh-tèi cao<color><enter>V¨n th­ Ch­ëng m«n bæ nhiÖm ®Ö tö ®İch truyÒn.<enter><color=Gold>(chøa danh hiÖu ®Æc cÊp cña s­ m«n, khi ph¸t s¸ng n¨ng lùc chñ yÕu+30, duy tr× 1 th¸ng, cÇn 10000 ®é cèng hiÕn)		ThÇn bİ	\script\item\item_billing\chenghao\menpailei.lua	1	0	1							
N«ng Tang phæ	2	1	1056	1	0	1												\image\item\other\coll_024a1.spr	\image\item\other\coll_024a0.spr	<color=gold>N«ng Tang phæ<color><enter>Häc ®­îc nhiÒu kü n¨ng sèng.<enter><color=Gold>(Häc 1 kü n¨ng chØ ®Şnh, ®ång thêi th¨ng ®Õn cÊp 70)		ThÇn bİ	\script\item\item_billing\shenghuojineng.lua	1	0	1							
ThÊt CÊp Gi¸m §Şnh phï-bao nhá	2	1	1057	0	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>ThÊt CÊp Gi¸m §Şnh phï-bao nhá<color><enter>Gi¸m ®Şnh phï_tói nhá.<enter><color=Gold>Chøa 10 tÊm Gi¸m ®Şnh phï cÊp 7)		ThÇn bİ	\script\item\item_billing\xiaobaojianding.lua	1	0	1							
ThÊt CÊp Gi¸m §Şnh phï-bao lín	2	1	1058	0	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>ThÊt CÊp Gi¸m §Şnh phï-bao lín<color><enter>Gi¸m ®Şnh phï_tói lín.<enter><color=Gold>Chøa 100 tÊm Gi¸m ®Şnh phï cÊp 7)		ThÇn bİ	\script\item\item_billing\dabaojianding.lua	1	0	1							
B¶o r­¬ng Tµng KiÕm ®Çu qu¸n	2	1	1059	50	100000	1												\image\item\other\²Ø½£Í·±¦Ïä(x).spr	\image\item\other\²Ø½£Í·±¦Ïä(d).spr	<color=gold>B¶o r­¬ng Tµng KiÕm ®Çu qu¸n<color><enter><enter><color=Gold>Chøa 1 ®Çu kh«i cña tµng kiÕm cÊp 70 t­¬ng øng víi hÖ ph¸i ng­êi së h÷u		ThÇn bİ	\script\item\item_billing\cangjiantao.lua	1	0	1							
B¶o r­¬ng Tµng KiÕm y gi¸p	2	1	1060	50	100000	1												\image\item\other\²Ø½£ÒÂ±¦Ïä(x).spr	\image\item\other\²Ø½£ÒÂ±¦Ïä(d).spr	<color=gold>B¶o r­¬ng Tµng KiÕm y gi¸p<color><enter><enter><color=Gold>Chøa 1 bé y phôc cña tµng kiÕm cÊp 70 t­¬ng øng víi hÖ ph¸i ng­êi së h÷u		ThÇn bİ	\script\item\item_billing\cangjiantao.lua	1	0	1							
B¶o r­¬ng Tµng KiÕm hoa khè	2	1	1061	50	100000	1												\image\item\other\²Ø½£¿ã±¦Ïä(x).spr	\image\item\other\²Ø½£¿ã±¦Ïä(d).spr	<color=gold>B¶o r­¬ng Tµng KiÕm hoa khè<color><enter><enter><color=Gold> Chøa 1 h¹ y cña Tµng kiÕm cÊp 70 t­¬ng øng víi hÖ ph¸i ng­êi së h÷u		ThÇn bİ	\script\item\item_billing\cangjiantao.lua	1	0	1							
B¶o r­¬ng Tµng KiÕm trang søc	2	1	1062	50	100000	1												\image\item\other\²Ø½£Ê×ÊÎ±¦Ïä(x).spr	\image\item\other\²Ø½£Ê×ÊÎ±¦Ïä(d).spr	<color=gold>B¶o r­¬ng Tµng KiÕm trang søc<color><enter><enter><color=Gold>Chøa 1 mãn trang søc cña Tµng kiÕm cÊp 70 t­¬ng øng víi hÖ ph¸i ng­êi së h÷u		ThÇn bİ	\script\item\item_billing\cangjiantao.lua	1	0	1							
B¶o r­¬ng Tµng KiÕm vò khİ	2	1	1063	100	100000	1												\image\item\other\²Ø½£ÎäÆ÷±¦Ïä(x).spr	\image\item\other\²Ø½£ÎäÆ÷±¦Ïä(d).spr	<color=gold>B¶o r­¬ng Tµng KiÕm vò khİ<color><enter><enter><color=Gold>Chøa 1 mãn vò khİ cña tµng kiÕm cÊp 70 t­¬ng øng víi hÖ ph¸i ng­êi së h÷u		ThÇn bİ	\script\item\item_billing\cangjiantao.lua	1	0	1							
Lôc ThÇn hoµn	2	1	1064	1	0	1												\image\item\other\ÁùÉñÍèa1.spr	\image\item\other\ÁùÉñÍèa0.spr	<color=gold>Lôc ThÇn hoµn<color><enter>Linh d­îc trong truyÒn thuyÕt.<enter><color=Gold> (ñy th¸c nhËn ®iÓm s­ m«n, cÇn ®¹t ®Õn 3000 ®iÓm danh väng)		ThÇn bİ	\script\item\item_billing\shengwangwan.lua	1	0	1							
C­êng Lôc ThÇn hoµn	2	1	1065	1	0	1												\image\item\other\Ç¿Ğ§ÁùÉñÍèa1.spr	\image\item\other\Ç¿Ğ§ÁùÉñÍèa0.spr	<color=gold>C­êng Lôc ThÇn hoµn<color><enter><enter><color=Gold>ñy th¸c nhËn ®iÓm danh väng, gÊp 2 lÇn Lôc ThÇn hoµn, cÇn ®¹t ®Õn 3000 ®iÓm danh väng		ThÇn bİ	\script\item\item_billing\shengwangwan.lua	1	0	1							
Lôc ThÇn Tiªn ®¬n	2	1	1066	1	0	1												\image\item\other\ÁùÉñÏÉµ¤a1.spr	\image\item\other\ÁùÉñÏÉµ¤a0.spr	<color=gold>Lôc ThÇn Tiªn ®¬n<color><enter><enter><color=Gold>ñy th¸c nhËn ®iÓm danh väng, gÊp 3 lÇn Lôc ThÇn hoµn, cÇn ®¹t ®Õn 3000 ®iÓm danh väng		ThÇn bİ	\script\item\item_billing\shengwangwan.lua	1	0	1							
§Şnh Hån Thiªn Th¹ch ThÇn Th¹ch	2	1	1067	1	200000	1												\image\item\other\¶¨»êÔÉÌúÉñÊ¯a1.spr	\image\item\other\¶¨»êÔÉÌúÉñÊ¯a0.spr	<color=gold>§Şnh Hån Thiªn Th¹ch ThÇn Th¹ch<color><enter>Tinh hoa Thiªn Th¹ch ®­îc rÌn bëi M¹c Binh.<enter><color=Gold> (Sau khi n©ng cÊp vò khİ ®Õn cÊp 7, nÕu thÊt b¹i sÏ trë vÒ cÊp 7, sö dông ë chç Thî rÌn L­u)		ThÇn bİ	\script\item\item_billing\dinghunyuntie.lua	1	0	1							
Thiªn Th¹ch linh th¹ch	2	1	1068	5	200000	1												\image\item\other\ÔÉÌúÁéÊ¯a1.spr	\image\item\other\ÔÉÌúÁéÊ¯a0.spr	<color=gold>Thiªn Th¹ch linh th¹ch<color><enter>Cã thÓ t¨ng cÊp vò khİ ®Õn mét giíi h¹n nhÊt ®Şnh.<enter><color=Gold> (Trùc tiÕp t¨ng ®Õn cÊp 7, ®Õn Thî rÌn L­u ®Ó thao t¸c)		ThÇn bİ		1	0	1							
Tñ nhá	2	1	1069	500	0	1												\image\item\other\Ğ¡ÒÂ¹ña1.spr	\image\item\other\Ğ¡ÒÂ¹ña0.spr	<color=gold>Tñ nhá<color><enter>Chøa c¸c lo¹i trang phôc th«ng th­êng.<enter><color=Gold> (Cã hiÖu lùc trong 1 tuÇn)		§· khãa	\script\item\item_billing\yigui.lua	1	2	1							
Tñ ¸o	2	1	1070	500	0	1												\image\item\other\ºÀ»ªÒÂ¹ña1.spr	\image\item\other\ºÀ»ªÒÂ¹ña0.spr	<color=gold>Tñ ¸o<color><enter>Trong cã nhiÒu y phôc th«ng th­êng.<enter><color=Gold> (Dïng trong 1 th¸ng)		§· khãa	\script\item\item_billing\yigui.lua	1	2	1							
Phôc Ma Kim Cang ChiÕn ı §ao Phæ	2	1	1071	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phôc Ma Kim Cang ChiÕn ı §ao Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ ThiÕu L©m Phôc Ma Kim Cang.		§· khãa	\script\item\lifeskill\weapon_fumojingangdao.lua	1	0	1							
Phôc Ma Kim Cang ChiÕn ı C«n Phæ	2	1	1072	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Phôc Ma Kim Cang ChiÕn ı C«n Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ ThiÕu L©m Phôc Ma Kim Cang.		§· khãa	\script\item\lifeskill\weapon_fumojinganggun.lua	1	0	1							
TruyÒn Kinh Ph¸p S­ Tr­îng Phæ	2	1	1073	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>TruyÒn Kinh Ph¸p S­ Tr­îng Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ ThiÕu L©m TruyÒn Kinh Ph¸p S­.		§· khãa	\script\item\lifeskill\weapon_chuanjingfs.lua	1	0	1							
Hé Ph¸p La H¸n §Êu Khİ Thñ Phæ	2	1	1074	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Hé Ph¸p La H¸n §Êu Khİ Thñ Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ ThiÕu L©m Hé Ph¸p La H¸n.		§· khãa	\script\item\lifeskill\weapon_hufaluohan.lua	1	0	1							
Bİ §éc Ch©m Phæ	2	1	1075	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Bİ §éc Ch©m Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ §­êng M«n Bİ §éc Thİch Kh¸ch.		§· khãa	\script\item\lifeskill\weapon_miducike.lua	1	0	1							
Tö Tróc Sø Ph¸p V©n KiÕm Phæ	2	1	1076	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Tö Tróc Sø Ph¸p V©n KiÕm Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ Nga My Tö Tróc Sø		§· khãa	\script\item\lifeskill\weapon_zizhushi.lua	1	0	1							
H¶i NguyÖt Sø Ph¸p ¢m CÇm Phæ	2	1	1077	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>H¶i NguyÖt Sø Ph¸p ¢m CÇm Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ Nga My H¶i NguyÖt Sø		§· khãa	\script\item\lifeskill\weapon_haiyueshi.lua	1	0	1							
Tø H¶i HiÖp Hµo Khİ Thñ Phæ	2	1	1078	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Tø H¶i HiÖp Hµo Khİ Thñ Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ C¸i Bang Tø H¶i HiÖp		§· khãa	\script\item\lifeskill\weapon_sihaixia.lua	1	0	1							
B¸t §¹i §Ö Tö Tô NghÜa Bæng Phæ	2	1	1079	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>B¸t §¹i §Ö Tö Tô NghÜa Bæng Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ C¸i Bang B¸t §¹i §Ö Tö		§· khãa	\script\item\lifeskill\weapon_badaidizi.lua	1	0	1							
V« Ng· §¹o Nh©n Ph¸p KiÕm Phæ	2	1	1080	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>V« Ng· §¹o Nh©n Ph¸p KiÕm Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ Vâ §ang V« Ng· §¹o Nh©n		§· khãa	\script\item\lifeskill\weapon_wuwodaoren.lua	1	0	1							
Nhµn V©n HiÖp §¹o  Thİch Phæ	2	1	1081	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>Nhµn V©n HiÖp §¹o  Thİch Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ Vâ §ang Nhµn V©n HiÖp §¹o		§· khãa	\script\item\lifeskill\weapon_xianyunxiadao.lua	1	0	1							
PhÊn Vâ T­íng Qu©n Th­¬ng Phæ	2	1	1082	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>PhÊn Vâ T­íng Qu©n Th­¬ng Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ D­¬ng M«n PhÊn Vâ T­íng Qu©n		§· khãa	\script\item\lifeskill\weapon_fenwujiangjun.lua	1	0	1							
PhÊn Uy T­íng Qu©n Cung Phæ	2	1	1083	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>PhÊn Uy T­íng Qu©n Cung Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ D­¬ng M«n PhÊn Uy T­íng Qu©n		§· khãa	\script\item\lifeskill\weapon_fenweijiangjun.lua	1	0	1							
H¾c V« Th­êng M·nh §éc §ao Phæ	2	1	1084	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>H¾c V« Th­êng M·nh §éc §ao Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ Ngò §éc H¾c V« Th­êng		§· khãa	\script\item\lifeskill\weapon_heiwuchang.lua	1	0	1							
B¹ch V« Th­êng Ngôy §éc Tr¶o Phæ	2	1	1085	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	<color=gold>B¹ch V« Th­êng Ngôy §éc Tr¶o Phæ<color><enter>C¸ch chÕ t¹o trang phôc vµ vò khİ Ngò §éc B¹ch V« Th­êng		§· khãa	\script\item\lifeskill\weapon_baiwuchang.lua	1	0	1							
B¶n vÏ ®óc t¹o thÇn khİ	2	1	1086	1	0	40												\image\item\other\Éñ±ø¶ÍÍ¼ËéÆ¬a1.spr	\image\item\other\Éñ±ø¶ÍÍ¼ËéÆ¬a0.spr	<color=gold>B¶n vÏ ®óc t¹o thÇn khİ<color><enter>T¸c phÈm t©m huyÕt cña M¹c Binh, ®©y lµ b¶n vÏ ®Ó rÌn luyÖn thÇn khİ cña c¸c ®¹i m«n ph¸i n¨m x­a, nh­ng hiÖn nay ®· bŞ r¸ch n¸t		ThÇn bİ		1	0	1							
MÆt n¹ S¸t Thñ §­êng	2	1	1087	1	0	1												\image\item\other\É±ÊÖÌÃÃæ¾ßa1.spr	\image\item\other\É±ÊÖÌÃÃæ¾ßa0.spr	<color=gold>MÆt n¹ S¸t Thñ §­êng<color><enter>MÆt n¹ do c¸c thî rÌn trong vâ l©m lµm ra, cã thÓ biÕn ng­êi ®eo nã ngôy trang thµnh s¸t thñ cña S¸t thñ ®­êng.<enter><color=Gold> (Vµo S¸t thñ ®­êng, tÇng 2 Tróc Ty ®éng chç Nam nh©n thÇn bİ sö dông)		ThÇn bİ		1	0	1							
M¶nh mËt tŞch thÊt l¹c	2	1	1088	1	0	999												\image\item\other\É¢ÂäµÄÃØ¼®ËéÆ¬a1.spr	\image\item\other\É¢ÂäµÄÃØ¼®ËéÆ¬a0.spr	<color=gold>M¶nh mËt tŞch thÊt l¹c<color><enter>M¶nh giÊy ghi l¹i tuyÖt häc c¸c ®¹i m«n ph¸i S¸t Thñ ®­êng thu thËp ®­îc, nÕu thu thËp ®Çy ®ñ cã thÓ chØnh lı thµnh mét quyÓn bİ kİp		ThÇn bİ	\script\task\killer_hall\book_frag_item.lua	1	0	1							
Tö cèt	2	1	1089	1	17	999												\image\item\other\coll_023a1.spr	\image\item\other\coll_023a0.spr	<color=gold>Tö cèt<color><enter>M¶nh x­¬ng vôn cña ®Çu l©u, Èn chøa søc m¹nh ghª gím		Thu thËp		1	0	0							
C¶i ®á	2	1	1090	1	0	999												\image\item\other\ºìÂÜ²·a1.spr	\image\item\other\ºìÂÜ²·a0.spr	<color=gold>C¶i ®á<color><enter>Cñ c¶i loµi thá thİch ¨n.		ThÇn bİ		1	0	1							
Cñ c¶i Vµng	2	1	1091	1	0	1												\image\item\other\½ğÂÜ²·a1.spr	\image\item\other\½ğÂÜ²·a0.spr	<color=gold>Cñ c¶i Vµng<color><enter>Cñ c¶i thÇn bİ loµi thá thİch ¨n.<enter><color=Gold> (Sö dông ë chç Thè TiÓu Nha)		ThÇn bİ		1	0	1							
Bæ kh¶o chøng	2	1	1092	1	0	1												\image\item\other\²¹¿¼Ö¤a1.spr	\image\item\other\²¹¿¼Ö¤a0.spr	<color=gold>Bæ kh¶o chøng<color><enter>Chøng th­ do Th­ viÖn §¹i Tèng ph¸t, cho thİ sinh c¬ héi míi.		ThÇn bİ		1	0	1							
V¨n CÈm H¹p	2	1	1100	1	0	1												\image\item\other\ÎÄ¿ı»¨½õºĞa1.spr	\image\item\other\ÎÄ¿ı»¨½õºĞa0.spr	<color=gold>V¨n CÈm H¹p<color><enter>Hép chøa trang phôc V¨n kh«i.<enter><color=Gold> (NhËn trang phôc V¨n Kh«i t­¬ng øng thÓ h×nh)		ThÇn bİ	\script\item\item_billing\wenkuihuajin.lua	1	0	1							
Hép cñ c¶i nhá	2	1	1094	1	0	1												\image\item\other\ÂÜ²·Ğ¡ÀñºĞa1.spr	\image\item\other\ÂÜ²·Ğ¡ÀñºĞa0.spr	<color=gold>Hép cñ c¶i nhá<color><enter><enter><color=Gold>Chøa 1 cñ c¶i, ®Õn chç Thè TiÓu Nha thi vÊn ®¸p		ThÇn bİ	\script\online\abluemoon\item\luoboxiaolihe.lua	1	0	1							
Hép cñ c¶i lín	2	1	1095	1	0	1												\image\item\other\ÂÜ²·´óÀñºĞa1.spr	\image\item\other\ÂÜ²·´óÀñºĞa0.spr	<color=gold>Hép cñ c¶i lín<color><enter>ChiÕc hép nhá trong cã nhiÒu cñ c¶i.<enter><color=Gold>Chøa 10 cñ c¶i, ®Õn chç TiÓu Thè Nha thi vÊn ®¸p		ThÇn bİ	\script\online\abluemoon\item\luobodalihe.lua	1	0	1							
Tam Thanh hoµn	2	1	1097	1	0	1												\image\item\usable\ĞĞÆøÉ¢a1.spr	\image\item\usable\ĞĞÆøÉ¢a0.spr	<color=gold>Tam Thanh hoµn<color><enter>T¨ng ®iÓm cèng hiÕn s­ m«n<enter><color=Gold> (ñy th¸c nhËn ®iÓm s­ m«n, kh«ng thÓ v­ît qu¸ ®iÓm cÊp hiÖn t¹i)		ThÇn bİ	\script\item\item_billing\sanqingwan.lua	1	0	1							
C­êng Tam Thanh hoµn	2	1	1098	1	0	1												\image\item\usable\ÎŞ³£É¢a1.spr	\image\item\usable\ÎŞ³£É¢a0.spr	<color=gold>C­êng Tam Thanh hoµn<color><enter><enter><color=Gold>ñy th¸c t¨ng ®iÓm s­ m«n, gÊp 2 lÇn Tam Thanh hoµn, kh«ng thÓ v­ît qu¸ cÊp hiÖn t¹i		ThÇn bİ	\script\item\item_billing\sanqingwan.lua	1	0	1							
Tam Thanh Tiªn ®¬n	2	1	1099	1	0	1												\image\item\usable\¾Å×ªĞÜÉßÍèa1.spr	\image\item\usable\¾Å×ªĞÜÉßÍèa0.spr	<color=gold>Tam Thanh Tiªn ®¬n<color><enter><enter><color=Gold>ñy th¸c t¨ng ®iÓm cèng hiÕn, gÊp 3 lÇn Tam Thanh hoµn, kh«ng thÓ v­ît qu¸ cÊp hiÖn t¹i		ThÇn bİ	\script\item\item_billing\sanqingwan.lua	1	0	1							
Thùc chiÕn t©m ®¾c	2	1	1101	1	1	999												\image\item\other\coll_105a1.spr	\image\item\other\coll_105a0.spr	<color=gold>Thùc chiÕn t©m ®¾c<color><enter>Tham gia §¹i héi Vâ L©m nhËn ®­îc Thùc ChiÕn kinh nghiÖm tËp (nhÊp chuét ph¶i sö dông). 		§· khãa	\script\item\shizhanxinde.lua	1	2	1							
Quan chiÕn t©m ®¾c	2	1	1102	1	1	999												\image\item\other\coll_105a1.spr	\image\item\other\coll_105a0.spr	<color=gold>Quan chiÕn t©m ®¾c<color><enter>Xem l«i ®µi tû vâ nhËn ®­îc kinh nghiÖm quan chiÕn.		§· khãa	\script\item\xinde.lua	1	2	1							
Thùc chiÕn kinh nghiÖm tËp	2	1	1103	1	1	1												\image\item\other\coll_105a1.spr	\image\item\other\coll_105a0.spr	<color=gold>Thùc chiÕn kinh nghiÖm tËp<color><enter>Kinh nghiÖm thùc chiÕn giang hå<enter><color=Gold>Sö dông ë chç Ch­ëng m«n hoÆc sø gi¶ Vâ L©m		ThÇn bİ	\script\item\xinde.lua	1	0	1							
Siªu B¹ch Kim LÔ Bao	2	1	1104	1	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>Siªu B¹ch Kim LÔ Bao<color><enter>ChØ cã tµi kho¶n b¹ch kim míi cã thÓ nhËn lÔ bao, bªn trong cã nhiÒu vËt quı hiÕm.		§· khãa	\script\item\item_billing\baijinlibao.lua	1	2	1							
T¸i chiÕn giang hå-§¹i lÔ bao	2	1	1105	1	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>T¸i chiÕn giang hå-§¹i lÔ bao<color><enter>T¸i chiÕn giang hå ®¹i lÔ bao, gióp b¹n t¸i xuÊt giang hå		§· khãa	\script\item\item_billing\zaizhandalibao.lua	1	2	1							
T¸i chiÕn giang hå-Hµo hoa lÔ bao	2	1	1106	1	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>T¸i chiÕn giang hå-Hµo hoa lÔ bao<color><enter>Tung hoµnh giang hå hµo hoa lÔ bao, gióp b¹n tung hoµnh giang hå		§· khãa	\script\item\item_billing\zaizhanhaohualibao.lua	1	2	1							
T¸i chiÕn giang hå-Chİ t«n lÔ bao	2	1	1107	1	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	<color=gold>T¸i chiÕn giang hå-Chİ t«n lÔ bao<color><enter>T¸i chiÕn giang hå chİ t«n lÔ bao, gióp b¹n x­ng b¸ vâ l©m		§· khãa	\script\item\item_billing\zaizhanzhizunlibao.lua	1	2	1							
1 ®ång	2	1	1108	1	0	1												\image\item\other\Âé½«ÅÆa1.spr	\image\item\other\Âé½«ÅÆa0.spr	<color=gold>1 ®ång<color><enter>Con bµi trong m¹t ch­îc. <enter><color=Gold>(Cã thÓ chØ ®Şnh bÊt kú 1 con ®ång)		§· khãa	\script\online\labor_2007\mah_jong_goods_use.lua		0	1							
1 ®iÒu	2	1	1109	1	0	1												\image\item\other\Âé½«ÅÆa1.spr	\image\item\other\Âé½«ÅÆa0.spr	<color=gold>1 ®iÒu<color><enter>Con bµi trong m¹t ch­îc. <enter><color=Gold>(Cã thÓ chØ ®Şnh bÊt kú 1 con ®iÒu)		§· khãa	\script\online\labor_2007\mah_jong_goods_use.lua		0	1							
1 v¹n	2	1	1110	1	0	1												\image\item\other\Âé½«ÅÆa1.spr	\image\item\other\Âé½«ÅÆa0.spr	<color=gold>1 v¹n<color><enter>Con bµi trong m¹t ch­îc. <enter><color=Gold>(Cã thÓ chØ ®Şnh bÊt kú 1 con v¹n)		§· khãa	\script\online\labor_2007\mah_jong_goods_use.lua		0	1							
1 tù	2	1	1111	1	0	1												\image\item\other\Âé½«ÅÆa1.spr	\image\item\other\Âé½«ÅÆa0.spr	<color=gold>1 tù<color><enter>Con bµi trong m¹t ch­îc. <enter><color=Gold>(Cã thÓ chØ ®Şnh bÊt kú 1 con ph¸t b¹ch trong ®«ng, t©y, nam, b¾c)		§· khãa	\script\online\labor_2007\mah_jong_goods_use.lua		0	1							
§æ hiÖp ngò th­ëng bao	2	1	1112	1	0	999												\image\item\other\holi_008a1.spr	\image\item\other\holi_008a0.spr	<color=gold>§æ hiÖp ngò th­ëng bao<color><enter>Muèn thµnh ®æ hiÖp ph¶i xem vËn may, chóc may m¾n!		§· khãa	\script\online\labor_2007\mah_jong_goods_use.lua		2	1							
