Tªn thó c­ìi	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè lç tèi ®a	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng (0 cã thÓ, 1 kh«ng thÓ giao dŞch, 2 cã thÓ giao dŞch cã thÓ b¸n shop, 3 cã thÓ giao dŞch kh«ng thÓ b¸n shop, 4 khãa sau khi trang bŞ cã thÓ b¸n shop, 5 khãa sau khi trang bŞ kh«ng thÓ b¸n shop)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 4	Phİ	Column1
Thanh S­¬ng	0	105	111	1000	0	0	2500		state_move_speed_percent_add	800;161				10				\image\item\horse\Âí1a1.spr	\image\item\horse\Âí1a0.spr	<color=gold>Thanh S­¬ng<color><enter>Ngùa quı T©y Vùc, l«ng nh­ s­¬ng tuyÕt.	Âí30a	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
Thanh S­¬ng (§á)	0	105	112	1000	0	0	2500		state_move_speed_percent_add	800;162				10				\image\item\horse\Âí1a1.spr	\image\item\horse\Âí1a0.spr	<color=gold>Thanh S­¬ng (§á)<color><enter>Ngùa quı T©y Vùc, l«ng nh­ s­¬ng tuyÕt.	Âí28b	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
Thanh S­¬ng (Lôc)	0	105	113	1000	0	0	2500		state_move_speed_percent_add	800;163				10				\image\item\horse\Âí1a1.spr	\image\item\horse\Âí1a0.spr	<color=gold>Thanh S­¬ng (Lôc)<color><enter>Ngùa quı T©y Vùc, l«ng nh­ s­¬ng tuyÕt.	Âí28c	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
Kim Huy	0	105	114	1000	0	0	2500		state_move_speed_percent_add	800;164				10				\image\item\horse\Âí2a1.spr	\image\item\horse\Âí2a0.spr	<color=gold>Kim Huy<color><enter>Ngùa quı T©y Vùc, l«ng nh­ ¸nh mÆt trêi.	Âí29a	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
Kim Huy (§á)	0	105	115	1000	0	0	2500		state_move_speed_percent_add	800;165				10				\image\item\horse\Âí2a1.spr	\image\item\horse\Âí2a0.spr	<color=gold>Kim Huy (§á)<color><enter>Ngùa quı T©y Vùc, l«ng nh­ ¸nh mÆt trêi.	Âí29b	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
Kim Huy (Lam)	0	105	116	1000	0	0	2500		state_move_speed_percent_add	800;166				10				\image\item\horse\Âí2a1.spr	\image\item\horse\Âí2a0.spr	<color=gold>Kim Huy (Lam)<color><enter>Ngùa quı T©y Vùc, l«ng nh­ ¸nh mÆt trêi.	Âí29c	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
L­u Quang	0	105	117	1000	0	0	2500		state_move_speed_percent_add	800;167				10				\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	<color=gold>L­u Quang<color><enter>Ngùa quı T©y Vùc, tèc ®é nh­ chíp giËt.	Âí28a	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
L­u Quang (Lam)	0	105	118	1000	0	0	2500		state_move_speed_percent_add	800;168				10				\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	<color=gold>L­u Quang (Lam)<color><enter>Ngùa quı T©y Vùc, tèc ®é nh­ chíp giËt.	Âí30b	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
L­u Quang (Lôc)	0	105	119	1000	0	0	2500		state_move_speed_percent_add	800;169				10				\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	<color=gold>L­u Quang (Lôc)<color><enter>Ngùa quı T©y Vùc, tèc ®é nh­ chíp giËt.	Âí30c	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
ThÇn Thó TŞch Tµ	0	105	120	1000	0	0	2500		state_move_speed_percent_add	800;170				10				\image\item\horse\ÉñÊŞ±ÙĞ°a0.spr	\image\item\horse\ÉñÊŞ±ÙĞ°a1.spr	<color=gold>ThÇn Thó TŞch Tµ<color><enter>Kim linh h­ëng, ngäc tiªu ng©m, tiªn bİ phôc loan do xu©n th¸n, thÇn c©u hµm miªn no·n phong bµng.	ÉñÊŞ±ÙĞ°	M· Bµi	\script\item\yujian.lua	7	2	1		50000	999
D­¬ng Sa	0	105	121	1000	0	0	2500		state_move_speed_percent_add	800;171				10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	<color=gold>D­¬ng Sa<color><enter>TiÕng kªu tha thiÕt, vang väng trêi cao.	Âí31a	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
Ngù Phong	0	105	122	1000	0	0	2500		state_move_speed_percent_add	800;172				10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	<color=gold>Ngù Phong<color><enter>Ng©n nga s¸o thæi, r× rÇm giã reo.	Âí31b	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
Truy §iÖn	0	105	123	1000	0	0	2500		state_move_speed_percent_add	800;173				10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	<color=gold>Truy §iÖn<color><enter>SÊm chíp vôt qua, lôc l¹c liªn håi, ngh×n dÆm nh­ m¬.	Âí31c	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
L­u Tinh	0	105	124	1000	0	0	2500		state_move_speed_percent_add	800;174				10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	<color=gold>L­u Tinh<color><enter>ƒnh sao ®Çy ®ång, yªn b¹c lÊp l¸nh.	Âí32a	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
C« NguyÖt	0	105	125	1000	0	0	2500		state_move_speed_percent_add	800;175				10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	<color=gold>C« NguyÖt<color><enter>Ngh×n dÆm mét m×nh, c­ìi giã ®ãn tr¨ng.	Âí32b	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
NhiÕp V©n	0	105	126	1000	0	0	2500		state_move_speed_percent_add	800;176				10			6	\image\item\horse\Âí3a1.spr	\image\item\horse\Âí3a0.spr	<color=gold>NhiÕp V©n<color><enter>Yªn b¹c d©y vµng, tiÕng hİ xung thiªn.	Âí32c	M· Bµi	\script\item\yujian.lua	7	4	1		50000	999
B¹ch HiÓu	0	105	134	1000	0	0	2500		state_move_speed_percent_add	800;177				10				\image\item\horse\ma034a1.spr	\image\item\horse\ma034a0.spr	<color=gold>B¹ch HiÓu<color><enter>Ban mai lªn n¾ng sím, cßn nghe tiÕng s­¬ng ®ªm.	°×Ïş	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
Thanh HiÓu	0	105	135	1000	0	0	2500		state_move_speed_percent_add	800;178				10				\image\item\horse\ma035a1.spr	\image\item\horse\ma035a0.spr	<color=gold>Thanh HiÓu<color><enter>§ªm m­a chê n¾ng sím, vã s¾t ®Õn Nh¹n M«n.	ÇåÏş	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
PhÊt HiÓu	0	105	136	1000	0	0	2500		state_move_speed_percent_add	800;179				10				\image\item\horse\ma036a1.spr	\image\item\horse\ma036a0.spr	<color=gold>PhÊt HiÓu<color><enter>Hõng ®«ng næi giã, chim vç c¸nh bay.	·÷Ïş	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
Phi HiÓu	0	105	137	1000	0	0	2500		state_move_speed_percent_add	800;180				10				\image\item\horse\ma037a1.spr	\image\item\horse\ma037a0.spr	<color=gold>Phi HiÓu<color><enter>Så ­ng kinh ph¸ hiÓu, kh­¬ng ®Şch tØnh biªn nh©n.	ÆÆÏş	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
B¹ch HiÓu	0	105	138	1000	0	0	2500		state_move_speed_percent_add	800;181				10			6	\image\item\horse\ma034a1.spr	\image\item\horse\ma034a0.spr	<color=gold>B¹ch HiÓu<color><enter>Ban mai lªn n¾ng sím, cßn nghe tiÕng s­¬ng ®ªm.	°×Ïş	M· Bµi	\script\item\horse.lua	4	4	1		50000	999
Thanh HiÓu	0	105	139	1000	0	0	2500		state_move_speed_percent_add	800;182				10			6	\image\item\horse\ma035a1.spr	\image\item\horse\ma035a0.spr	<color=gold>Thanh HiÓu<color><enter>§ªm m­a chê n¾ng sím, vã s¾t ®Õn Nh¹n M«n.	ÇåÏş	M· Bµi	\script\item\horse.lua	4	4	1		50000	999
PhÊt HiÓu	0	105	140	1000	0	0	2500		state_move_speed_percent_add	800;183				10			6	\image\item\horse\ma036a1.spr	\image\item\horse\ma036a0.spr	<color=gold>PhÊt HiÓu<color><enter>Hõng ®«ng næi giã, chim vç c¸nh bay.	·÷Ïş	M· Bµi	\script\item\horse.lua	4	4	1		50000	999
Phi HiÓu	0	105	141	1000	0	0	2500		state_move_speed_percent_add	800;184				10				\image\item\horse\ma037a1.spr	\image\item\horse\ma037a0.spr	<color=gold>Phi HiÓu<color><enter>Så ­ng kinh ph¸ hiÓu, kh­¬ng ®Şch tØnh biªn nh©n.	ÆÆÏş	M· Bµi	\script\item\horse.lua	8	1	1		50000	999
ChiÕu D¹ Ngäc S­ Tö	0	105	142	1000	0	0	2500		state_move_speed_percent_add	800;185				10				\image\item\horse\sizia1.spr	\image\item\horse\sizia0.spr	<color=gold>ChiÕu D¹ Ngäc S­ Tö<color><enter>B¾c C­¬ng ThÇn C©u, cao chİn th­íc, tr¾ng nh­ tuyÕt, l«ng th­a nh­ con K× L©n, tèc ®é phi nh­ tªn b¾n. 	Âí20	M· Bµi	\script\item\horse.lua	7	4	1		50000	999
D­¬ng M«n ChiÕu D¹ Ngäc S­ Tö	0	105	143	1000	0	0	2500		state_move_speed_percent_add	800;186				10			6	\image\item\horse\sizia1.spr	\image\item\horse\sizia0.spr	<color=gold>D­¬ng M«n ChiÕu D¹ Ngäc S­ Tö<color><enter>B¾c C­¬ng ThÇn C©u, cao chİn th­íc, tr¾ng nh­ tuyÕt, l«ng th­a nh­ con K× L©n, tèc ®é phi nh­ tªn b¾n. 	Âí20	M· Bµi	\script\item\horse.lua	4	4	1		50000	999
L¹c §µ Tr¾ng	0	105	148	1000	0	0	2500		state_move_speed_percent_add	800;187				10				\image\item\horse\ÂæÍÕ°×a1.spr	\image\item\horse\ÂæÍÕ°×a0.spr	<color=gold>L¹c §µ Tr¾ng<color><enter>§­îc gäi lµ "con tµu trªn sa m¹c". 	°×ÂæÍÕ	M· Bµi	\script\item\yujian.lua	8	1	1		50000	999
L¹c §µ X¸m	0	105	149	1000	0	0	2500		state_move_speed_percent_add	800;188				10				\image\item\horse\ÂæÍÕ»Òa1.spr	\image\item\horse\ÂæÍÕ»Òa0.spr	<color=gold>L¹c §µ X¸m<color><enter>§­îc gäi lµ "con tµu trªn sa m¹c". 	»ÒÂæÍÕ	M· Bµi	\script\item\yujian.lua	8	1	1		50000	999
GÊu Manh Manh	0	105	150	1000	0	0	2500		state_move_speed_percent_add	800;189				10				\image\item\horse\ĞÜÃ¨a1.spr	\image\item\horse\ĞÜÃ¨a0.spr	<color=gold>GÊu Manh Manh<color><enter>§©y lµ loµi thó l¹ hiÕm cã, dÜ nhiªn ph¶i dµnh cho ng­êi giái nhÊt.	ĞÜÃ¨ÃÈÃÈ	M· Bµi	\script\item\yujian.lua	8	3	1		200000	999
Lõa Kh¨n §á	0	105	151	1000	0	0	2500		state_move_speed_percent_add	800;190				10				\image\item\horse\Ã«Â¿36-³È.spr	\image\item\horse\Ã«Â¿120-³È.spr	<color=gold>Lõa Kh¨n §á<color><enter>Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê.	Ã«Â¿1	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Lõa Kh¨n Vµng	0	105	152	1000	0	0	2500		state_move_speed_percent_add	800;191				10				\image\item\horse\Ã«Â¿36-»Æ.spr	\image\item\horse\Ã«Â¿120-»Æ.spr	<color=gold>Lõa Kh¨n Vµng<color><enter>Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê.	Ã«Â¿2	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Lõa Kh¨n Lam	0	105	153	1000	0	0	2500		state_move_speed_percent_add	800;192				10				\image\item\horse\Ã«Â¿36-À¶.spr	\image\item\horse\Ã«Â¿120-À¶.spr	<color=gold>Lõa Kh¨n Lam<color><enter>Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê.	Ã«Â¿3	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Lõa Kh¨n Xanh	0	105	154	1000	0	0	2500		state_move_speed_percent_add	800;193				10				\image\item\horse\Ã«Â¿36-ÂÌ.spr	\image\item\horse\Ã«Â¿120-ÂÌ.spr	<color=gold>Lõa Kh¨n Xanh<color><enter>Nhµ ta cã lõa nhá, ta kh«ng c­ìi bao giê.	Ã«Â¿4	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Tam VÜ TuyÕt Hå	0	105	160	1000	0	0	2500		state_move_speed_percent_add	800;194				10				\image\item\horse\jiuweihu03a1.spr	\image\item\horse\jiuweihu03a0.spr	<color=gold>Tam VÜ TuyÕt Hå<color><enter>Thó quı hiÕm trªn Thanh Kh­u S¬n, h×nh d¹ng gièng con hå ly nh­ng cã ba c¸i ®u«i.	ÈıÎ²ºü	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
C¸o n¨m ®u«i	0	105	161	1000	0	0	2500		state_move_speed_percent_add	800;195				10				\image\item\horse\jiuweihu05a1.spr	\image\item\horse\jiuweihu05a0.spr	<color=gold>C¸o n¨m ®u«i<color><enter>Trªn gß nói cã thÇn thó, h×nh d¸ng nh­ c¸o n¨m ®u«i	ÎåÎ²ºü	M· Bµi	\script\item\horse.lua	8	2	1		50000	999
C¸o TuyÕt B¶y §u«i	0	105	162	1000	0	0	2500		state_move_speed_percent_add	800;196				10			6	\image\item\horse\jiuweihu07a1.spr	\image\item\horse\jiuweihu07a0.spr	<color=gold>C¸o TuyÕt B¶y §u«i<color><enter>Vïng Thanh Kh©u cã loµi thó l¹, d¸ng nh­ c¸o mµ cã b¶y ®u«i.	ÆßÎ²ºü	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Cöu VÜ TuyÕt Hå	0	105	163	1000	0	0	2500		state_move_speed_percent_add	800;197				10				\image\item\horse\jiuweihu09a1.spr	\image\item\horse\jiuweihu09a0.spr	<color=gold>Cöu VÜ TuyÕt Hå<color><enter>Thó quı hiÕm trªn Thanh Kh­u S¬n, h×nh d¹ng gièng con hå ly nh­ng cã chİn c¸i ®u«i.	¾ÅÎ²ºü	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Háa hå	0	105	164	1000	0	0	2500		state_move_speed_percent_add	800;198				10				\image\item\horse\jiuweihu01_honga1.spr	\image\item\horse\jiuweihu01_honga0.spr	<color=gold>Háa hå<color><enter>Trªn nói cã hå ly, l«ng mµu ®á thÉm vµ rÊt t©m linh.	»ğºü	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
Ngùa v»n	0	105	166	1000	0	0	2500		state_move_speed_percent_add	800;199				10			6	\image\item\horse\ma39a1.spr	\image\item\horse\ma39a0.spr	<color=gold>Ngùa v»n<color><enter>H×nh nh­ ngùa v»n vµ ngùa b×nh th­êng kh¸c nhau hoµn toµn	°ßÂí	M· Bµi	\script\item\horse.lua	4	2	1		50000	999
Xe TuyÕt §Şa Cùc	0	105	167	1000	0	0	2500		state_move_speed_percent_add	800;200				10				\image\item\horse\Ñ©ÇÁ0136.spr	\image\item\horse\Ñ©ÇÁ01120.spr	<color=gold>Xe TuyÕt §Şa Cùc<color><enter>Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt.	Ñ©ÇÁ1	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Xe TuyÕt Tinh X¶o	0	105	168	1000	0	0	2500		state_move_speed_percent_add	800;201				10				\image\item\horse\Ñ©ÇÁ0236.spr	\image\item\horse\Ñ©ÇÁ02120.spr	<color=gold>Xe TuyÕt Tinh X¶o<color><enter>Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt, ngo¹i h×nh tinh x¶o.	Ñ©ÇÁ2	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Xe TuyÕt Hµo Hoa	0	105	169	1000	0	0	2500		state_move_speed_percent_add	800;202				10				\image\item\horse\Ñ©ÇÁ0336.spr	\image\item\horse\Ñ©ÇÁ03120.spr	<color=gold>Xe TuyÕt Hµo Hoa<color><enter>Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt, ngo¹i h×nh sang träng.	Ñ©ÇÁ3	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Xe TuyÕt §éc §¸o	0	105	170	1000	0	0	2500		state_move_speed_percent_add	800;203				10				\image\item\horse\Ñ©ÇÁ0436.spr	\image\item\horse\Ñ©ÇÁ04120.spr	<color=gold>Xe TuyÕt §éc §¸o<color><enter>Thó c­ìi ®Æc biÖt cña vïng b¨ng tuyÕt.	Ñ©ÇÁ4	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Dª Tr¾ng S÷a	0	105	173	1000	0	0	2500		state_move_speed_percent_add	800;204				10				\image\item\horse\×øÆïÑò2a1.spr	\image\item\horse\×øÆïÑò2a0.spr	<color=gold>Dª Tr¾ng S÷a<color><enter>Ng­êi ta lµ dª tr¾ng, kh«ng ph¶i dª s÷a nhĞ!	°×ÑòĞ¡ºÚ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn M· N÷ Ch©n	0	105	177	1000	0	0	2500		state_move_speed_percent_add	800;205				10				\image\item\horse\ma038aa1.spr	\image\item\horse\ma038aa0.spr	<color=gold>ChiÕn M· N÷ Ch©n<color><enter>N÷ Ch©n lµ bé téc chuyªn c­ìi ngùa ®i s¨n, rÊt chó träng viÖc ch¨n nu«i ngùa. Hä tõng nhËp gièng ngùa tèt, phèi thµnh ngùa quı b¶n ®Şa.	Å®ÕæÕ½Âí	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn M· Liªu Quèc	0	105	178	1000	0	0	2500		state_move_speed_percent_add	800;206				10			6	\image\item\horse\ma038ba1.spr	\image\item\horse\ma038ba0.spr	<color=gold>ChiÕn M· Liªu Quèc<color><enter>Liªu Quèc chiÕm gi÷ mét vïng th¶o nguyªn réng lín ë phİa b¾c Tr­êng Thµnh, phÇn lín chiÕn m· cña Liªu Quèc ®Òu lÊy tõ vïng nµy.	ÁÉ¹úÕ½Âí	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
ChiÕn M· T©y H¹	0	105	179	1000	0	0	2500		state_move_speed_percent_add	800;207				10			6	\image\item\horse\ma038ca1.spr	\image\item\horse\ma038ca0.spr	<color=gold>ChiÕn M· T©y H¹<color><enter>Vïng th¶o nguyªn T©y H¹ næi tiÕng víi nghÒ du môc, ®Æc biÖt lµ ch¨n nu«i ngùa. Mçi n¨m cã v« sè ngùa tèt tõ ®©y nhËp vµo Trung Nguyªn.	Î÷ÏÄÕ½Âí	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
Gi¸ng V©n Xİch Tiªu KiÕm	0	105	180	1000	0	0	2500		state_move_speed_percent_add	800;208				10				\image\item\horse\Óù½£×øÆï1a1.spr	\image\item\horse\Óù½£×øÆï1a0.spr	<color=gold>Gi¸ng V©n Xİch Tiªu KiÕm<color><enter>TriÖu håi Gi¸ng V©n Xİch Tiªu KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh	ç­ÔÆ³àÏö½£	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Lé Song Hoa KiÕm	0	105	181	1000	0	0	2500		state_move_speed_percent_add	800;209				10				\image\item\horse\Óù½£×øÆï2a1.spr	\image\item\horse\Óù½£×øÆï2a0.spr	<color=gold>B¹ch Lé Song Hoa KiÕm<color><enter>TriÖu håi B¹ch Lé Song Hoa KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh	°×Â¶Ëª»ª½£	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
V« Väng V« TrÇn KiÕm	0	105	182	1000	0	0	2500		state_move_speed_percent_add	800;210				10				\image\item\horse\Óù½£×øÆï3a1.spr	\image\item\horse\Óù½£×øÆï3a0.spr	<color=gold>V« Väng V« TrÇn KiÕm<color><enter>TriÖu håi V« Väng V« TrÇn KiÕm, cã thÓ khiÕn Ngù KiÕm Phi Hµnh	ÎŞÍıÎŞ³¾½£	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
ChiÕn Xe TÇn	0	105	183	1000	0	0	2500		state_move_speed_percent_add	800;211				10				\image\item\horse\Ê¼»ÊÕ½³µa1.spr	\image\item\horse\Ê¼»ÊÕ½³µa0.spr	<color=gold>ChiÕn Xe TÇn<color><enter>ChiÕn xe rÊt æn, xe ch¹y nh­ bay.	ÇØÂíÈÖ³µ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
L¹c §µ Tr¾ng	0	105	184	1000	0	0	2500		state_move_speed_percent_add	800;212				10				\image\item\horse\°×ÑòÍÕa1.spr	\image\item\horse\°×ÑòÍÕa0.spr	<color=gold>L¹c §µ Tr¾ng<color><enter>Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ.	°×ÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
L¹c §µ §en	0	105	185	1000	0	0	2500		state_move_speed_percent_add	800;213				10				\image\item\horse\ºÚ°×ÑòÍÕa1.spr	\image\item\horse\ºÚ°×ÑòÍÕa0.spr	<color=gold>L¹c §µ §en<color><enter>Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ.	ºÚÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
L¹c §µ N©u	0	105	186	1000	0	0	2500		state_move_speed_percent_add	800;214				10				\image\item\horse\»ÒÑòÍÕa1.spr	\image\item\horse\»ÒÑòÍÕa0.spr	<color=gold>L¹c §µ N©u<color><enter>Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ.	»ÒÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
L¹c §µ S÷a	0	105	187	1000	0	0	2500		state_move_speed_percent_add	800;215				10				\image\item\horse\Èé°×ÑòÍÕa1.spr	\image\item\horse\Èé°×ÑòÍÕa0.spr	<color=gold>L¹c §µ S÷a<color><enter>Gièng l¹c ®µ l¹, nghe nãi xuÊt xø tõ lôc ®Şa kh¸c. VÎ ngoµi gièng ngùa mµ l«ng l¸ xï x×, tİnh nh¸t, dÔ næi nãng, thİch ®­îc vç vÒ.	Èé°×ÑòÍÕ	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¹ch Anh	0	105	188	1000	0	0	2500		state_move_speed_percent_add	800;216				10				\image\item\horse\baizelinshou01a1.spr	\image\item\horse\baizelinshou01a0.spr	<color=gold>B¹ch Anh<color><enter>Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch.	°×ĞÜ1	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¹ch Hoa	0	105	189	1000	0	0	2500		state_move_speed_percent_add	800;217				10				\image\item\horse\baizelinshou02a1.spr	\image\item\horse\baizelinshou02a0.spr	<color=gold>B¹ch Hoa<color><enter>Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch.	°×ĞÜ2	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
B¹ch Hång	0	105	190	1000	0	0	2500		state_move_speed_percent_add	800;218				10				\image\item\horse\baizelinshou03a1.spr	\image\item\horse\baizelinshou03a0.spr	<color=gold>B¹ch Hång<color><enter>Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch. §­îc trang bŞ yªn ®iªu kh¾c, v« cïng sang träng.	°×ĞÜ3	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
B¹ch Khuª	0	105	191	1000	0	0	2500		state_move_speed_percent_add	800;219				10				\image\item\horse\baizelinshou04a1.spr	\image\item\horse\baizelinshou04a0.spr	<color=gold>B¹ch Khuª<color><enter>Sèng trong rõng s©u trªn nói tuyÕt, İt khi ra ngoµi kiÕm ¨n. Cã lÏ cã hä hµng víi Linh Thó B¹ch Tr¹ch. Sau khi trang bŞ ®Çy ®ñ vò khİ gi¸p trô, khİ thÕ ngÊt trêi!	°×ĞÜ4	M· Bµi	\script\item\yujian.lua	8	4	1		50000	999
C¸t T­êng Tiªn H¹c	0	105	192	1000	0	0	2500		state_move_speed_percent_add	800;220				10				\image\item\horse\ÏÉº×1a1.spr	\image\item\horse\ÏÉº×1a0.spr	<color=gold>C¸t T­êng Tiªn H¹c<color><enter>T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . §em theo L¹p Mai C¸t T­êng ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn.	¼ªÏéÏÉº×	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
T­êng NhuÖ Tiªn H¹c	0	105	193	1000	0	0	2500		state_move_speed_percent_add	800;221				10				\image\item\horse\ÏÉº×2a1.spr	\image\item\horse\ÏÉº×2a0.spr	<color=gold>T­êng NhuÖ Tiªn H¹c<color><enter>T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . §em theo khİ C¸t NhuÖ ®Çy ng­êi ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn.	ÏéÈğÏÉº×	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
TuyÕt Ng©n T­êng NhuÖ Tiªn H¹c	0	105	194	1000	0	0	2500		state_move_speed_percent_add	800;222				10				\image\item\horse\ÏÉº×3a1.spr	\image\item\horse\ÏÉº×3a0.spr	<color=gold>TuyÕt Ng©n T­êng NhuÖ Tiªn H¹c<color><enter>T­¬ng truyÒn Kú L©n cña Tiªn Nh©n, t­îng tr­ng cho C¸t T­êng Nh­ . Th©n kho¸c TuyÕt Ng©n Hµn Gi¸p, kh¾p ng­êi ®Çy C¸t NhuÖ ®Õn nh©n gian, ®Ó t×m ng­êi h÷u duyªn.	Ñ©ÒøÏéÈğÏÉº×	M· Bµi	\script\item\yujian.lua	8	2	1		50000	999
