Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Lùc phßng	PhÈm chÊt	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
V©n Tr¹ch HuyÒn V¨n	0	114	23	0	0	3	30											\image\item\wenshi\3¼¶¿ã×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\3¼¶¿ã×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc quÇn		Hoa v¨n- trang		3	0	1			999
Li Háa HuyÒn V¨n	0	114	24	0	0	4	30											\image\item\wenshi\3¼¶¿ã×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\3¼¶¿ã×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc quÇn		Hoa v¨n- trang		3	0	1			999
B¨ng Ngäc HuyÒn V¨n	0	114	25	0	0	5	30											\image\item\wenshi\3¼¶¿ã×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\3¼¶¿ã×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc quÇn		Hoa v¨n- trang		3	0	1			999
Méng Hoa §iªu Søc	0	115	21	0	0	1	30											\image\item\wenshi\3¼¶½äÖ¸ÎÆÊÎ½ğa1.spr	\image\item\wenshi\3¼¶½äÖ¸ÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		3	0	1			999
Thóy Cóc §iªu Søc	0	115	22	0	0	2	30											\image\item\wenshi\3¼¶½äÖ¸ÎÆÊÎÄ¾a1.spr	\image\item\wenshi\3¼¶½äÖ¸ÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		3	0	1			999
V©n Tr¹ch §iªu Søc	0	115	23	0	0	3	30											\image\item\wenshi\3¼¶½äÖ¸ÎÆÊÎË®a1.spr	\image\item\wenshi\3¼¶½äÖ¸ÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		3	0	1			999
Li Háa §iªu Søc	0	115	24	0	0	4	30											\image\item\wenshi\3¼¶½äÖ¸ÎÆÊÎ»ğa1.spr	\image\item\wenshi\3¼¶½äÖ¸ÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		3	0	1			999
B¨ng Ngäc §iªu Søc	0	115	25	0	0	5	30											\image\item\wenshi\3¼¶½äÖ¸ÎÆÊÎÍÁa1.spr	\image\item\wenshi\3¼¶½äÖ¸ÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		3	0	1			999
Méng Hoa Béi Søc	0	117	21	0	0	1	30											\image\item\wenshi\3¼¶ÓñÅåÎÆÊÎ½ğa1.spr	\image\item\wenshi\3¼¶ÓñÅåÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		3	0	1			999
Thóy Cóc Béi Søc	0	117	22	0	0	2	30											\image\item\wenshi\3¼¶ÓñÅåÎÆÊÎÄ¾a1.spr	\image\item\wenshi\3¼¶ÓñÅåÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		3	0	1			999
V©n Tr¹ch Béi Søc	0	117	23	0	0	3	30											\image\item\wenshi\3¼¶ÓñÅåÎÆÊÎË®a1.spr	\image\item\wenshi\3¼¶ÓñÅåÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		3	0	1			999
Li Háa Béi Søc	0	117	24	0	0	4	30											\image\item\wenshi\3¼¶ÓñÅåÎÆÊÎ»ğa1.spr	\image\item\wenshi\3¼¶ÓñÅåÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		3	0	1			999
B¨ng Ngäc Béi Søc	0	117	25	0	0	5	30											\image\item\wenshi\3¼¶ÓñÅåÎÆÊÎÍÁa1.spr	\image\item\wenshi\3¼¶ÓñÅåÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		3	0	1			999
Hóc D­¬ng Thiªn V¨n	0	116	26	0	0	1	10							90				\image\item\wenshi\4¼¶Ã±×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\4¼¶Ã±×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		4	0	1			999
Xu©n Huy Thiªn V¨n	0	116	27	0	0	2	10							90				\image\item\wenshi\4¼¶Ã±×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\4¼¶Ã±×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		4	0	1			999
L¹c Thñy Thiªn V¨n	0	116	28	0	0	3	10							90				\image\item\wenshi\4¼¶Ã±×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\4¼¶Ã±×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		4	0	1			999
Chİch Viªm Thiªn V¨n	0	116	29	0	0	4	10							90				\image\item\wenshi\4¼¶Ã±×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\4¼¶Ã±×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		4	0	1			999
TrÇm Sa Thiªn V¨n	0	116	30	0	0	5	10							90				\image\item\wenshi\4¼¶Ã±×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\4¼¶Ã±×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		4	0	1			999
Hóc D­¬ng ChiÕn V¨n	0	113	26	0	0	1	10							90				\image\item\wenshi\4¼¶ÒÂ·şÎÆÊÎ½ğa1.spr	\image\item\wenshi\4¼¶ÒÂ·şÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ¸o		Hoa v¨n-y		4	0	1			999
Xu©n Huy ChiÕn V¨n	0	113	27	0	0	2	10							90				\image\item\wenshi\4¼¶ÒÂ·şÎÆÊÎÄ¾a1.spr	\image\item\wenshi\4¼¶ÒÂ·şÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ¸o		Hoa v¨n-y		4	0	1			999
L¹c Thñy ChiÕn V¨n	0	113	28	0	0	3	10							90				\image\item\wenshi\4¼¶ÒÂ·şÎÆÊÎË®a1.spr	\image\item\wenshi\4¼¶ÒÂ·şÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ¸o		Hoa v¨n-y		4	0	1			999
Chİch Viªm ChiÕn V¨n	0	113	29	0	0	4	10							90				\image\item\wenshi\4¼¶ÒÂ·şÎÆÊÎ»ğa1.spr	\image\item\wenshi\4¼¶ÒÂ·şÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ¸o		Hoa v¨n-y		4	0	1			999
TrÇm Sa ChiÕn V¨n	0	113	30	0	0	5	10							90				\image\item\wenshi\4¼¶ÒÂ·şÎÆÊÎÍÁa1.spr	\image\item\wenshi\4¼¶ÒÂ·şÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ¸o		Hoa v¨n-y		4	0	1			999
Hóc D­¬ng HuyÒn V¨n	0	114	26	0	0	1	10							90				\image\item\wenshi\4¼¶¿ã×ÓÎÆÊÎ½ğa1.spr	\image\item\wenshi\4¼¶¿ã×ÓÎÆÊÎ½ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc quÇn		Hoa v¨n- trang		4	0	1			999
Xu©n Huy HuyÒn V¨n	0	114	27	0	0	2	10							90				\image\item\wenshi\4¼¶¿ã×ÓÎÆÊÎÄ¾a1.spr	\image\item\wenshi\4¼¶¿ã×ÓÎÆÊÎÄ¾a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc quÇn		Hoa v¨n- trang		4	0	1			999
L¹c Thñy HuyÒn V¨n	0	114	28	0	0	3	10							90				\image\item\wenshi\4¼¶¿ã×ÓÎÆÊÎË®a1.spr	\image\item\wenshi\4¼¶¿ã×ÓÎÆÊÎË®a0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc quÇn		Hoa v¨n- trang		4	0	1			999
Chİch Viªm HuyÒn V¨n	0	114	29	0	0	4	10							90				\image\item\wenshi\4¼¶¿ã×ÓÎÆÊÎ»ğa1.spr	\image\item\wenshi\4¼¶¿ã×ÓÎÆÊÎ»ğa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc quÇn		Hoa v¨n- trang		4	0	1			999
TrÇm Sa HuyÒn V¨n	0	114	30	0	0	5	10							90				\image\item\wenshi\4¼¶¿ã×ÓÎÆÊÎÍÁa1.spr	\image\item\wenshi\4¼¶¿ã×ÓÎÆÊÎÍÁa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc quÇn		Hoa v¨n- trang		4	0	1			999
Hóc D­¬ng §iªu Søc	0	115	26	0	0	1	10							90				\image\item\wenshi\4¼¶½äÖ¸ÎÆÊÎ½ğa1.spr	\image\item\wenshi\4¼¶½äÖ¸ÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		4	0	1			999
Xu©n Huy §iªu Søc	0	115	27	0	0	2	10							90				\image\item\wenshi\4¼¶½äÖ¸ÎÆÊÎÄ¾a1.spr	\image\item\wenshi\4¼¶½äÖ¸ÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		4	0	1			999
L¹c Thñy §iªu Søc	0	115	28	0	0	3	10							90				\image\item\wenshi\4¼¶½äÖ¸ÎÆÊÎË®a1.spr	\image\item\wenshi\4¼¶½äÖ¸ÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		4	0	1			999
Chİch Viªm §iªu Søc	0	115	29	0	0	4	10							90				\image\item\wenshi\4¼¶½äÖ¸ÎÆÊÎ»ğa1.spr	\image\item\wenshi\4¼¶½äÖ¸ÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		4	0	1			999
TrÇm Sa §iªu Søc	0	115	30	0	0	5	10							90				\image\item\wenshi\4¼¶½äÖ¸ÎÆÊÎÍÁa1.spr	\image\item\wenshi\4¼¶½äÖ¸ÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		4	0	1			999
Hóc D­¬ng Béi Søc	0	117	26	0	0	1	10							90				\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎ½ğa1.spr	\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎ½ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		4	0	1			999
Xu©n Huy Béi Søc	0	117	27	0	0	2	10							90				\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎÄ¾a1.spr	\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎÄ¾a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		4	0	1			999
L¹c Thñy Béi Søc	0	117	28	0	0	3	10							90				\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎË®a1.spr	\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎË®a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		4	0	1			999
Chİch Viªm Béi Søc	0	117	29	0	0	4	10							90				\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎ»ğa1.spr	\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎ»ğa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		4	0	1			999
TrÇm Sa Béi Søc	0	117	30	0	0	5	10							90				\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎÍÁa1.spr	\image\item\wenshi\4¼¶ÓñÅåÎÆÊÎÍÁa0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		4	0	1			999
Ly Kim Thiªn V¨n	0	116	31	0	0	1	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÍ·a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·a0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
No·n Thóy Thiªn V¨n	0	116	32	0	0	2	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÍ·b1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·b0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
Y Lam Thiªn V¨n	0	116	33	0	0	3	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÍ·c1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·c0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
DiÖu Háa Thiªn V¨n	0	116	34	0	0	4	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÍ·d1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·d0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
Huúnh Th¹ch Thiªn V¨n	0	116	35	0	0	5	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÍ·e1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÍ·e0.spr	V¨n søc tinh x¶o h×nh rång cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ®Çu		Hoa v¨n-®Çu		5	0	1			999
Ly Kim ChiÕn V¨n	0	113	31	0	0	1	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÒÂa1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂa0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
No·n Thóy ChiÕn V¨n	0	113	32	0	0	2	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÒÂb1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂb0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
Y Lam ChiÕn V¨n	0	113	33	0	0	3	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÒÂc1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂc0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
DiÖu Háa ChiÕn V¨n	0	113	34	0	0	4	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÒÂd1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂd0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
Huúnh Th¹ch ChiÕn V¨n	0	113	35	0	0	5	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÒÂe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÒÂe0.spr	V¨n søc tinh x¶o h×nh ph­îng cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc ¸o		Hoa v¨n-y		5	0	1			999
Ly Kim HuyÒn V¨n	0	114	31	0	0	1	10							90				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãa1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãa0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh kim, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
No·n Thóy HuyÒn V¨n	0	114	32	0	0	2	10							90				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãb1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãb0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh méc, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
Y Lam HuyÒn V¨n	0	114	33	0	0	3	10							90				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãc1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãc0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thñy, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
DiÖu Háa HuyÒn V¨n	0	114	34	0	0	4	10							90				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãd0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh háa, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
Huúnh Th¹ch HuyÒn V¨n	0	114	35	0	0	5	10							90				\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe1.spr	\image\item\wenshi\5¼¶ÎÆÊÎ¿ãe0.spr	V¨n søc tinh x¶o h×nh hæ cã thÓ chèng ®ì s¸t th­¬ng thuéc tİnh thæ, dïng lµm trang søc quÇn		Hoa v¨n- trang		5	0	1			999
Ly Kim §iªu Søc	0	115	31	0	0	1	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
No·n Thóy §iªu Søc	0	115	32	0	0	2	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Y Lam §iªu Søc	0	115	33	0	0	3	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
DiÖu Háa §iªu Søc	0	115	34	0	0	4	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Huúnh Th¹ch §iªu Søc	0	115	35	0	0	5	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc trang trİ		V¨n Søc- Trang søc		5	0	1			999
Ly Kim Béi Søc	0	117	31	0	0	1	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ1a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Kim, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		5	0	1			999
No·n Thóy Béi Søc	0	117	32	0	0	2	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ2a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Méc, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		5	0	1			999
Y Lam Béi Søc	0	117	33	0	0	3	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ3a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thñy, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		5	0	1			999
DiÖu Háa Béi Søc	0	117	34	0	0	4	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ4a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Háa, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		5	0	1			999
Huúnh Th¹ch Béi Søc	0	117	35	0	0	5	10							90				\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a1.spr	\image\item\wenshi\5¼¶ÎÆÊÎÊ×ÊÎ5a0.spr	V¨n Søc tinh x¶o h×nh hoa cã thÓ chèng ®ì l¹i thuéc tİnh tÊn c«ng hÖ Thæ, dïng lµm trang søc ngäc béi		V¨n Søc- Trang søc		5	0	1			999
V« Väng Thiªn V¨n	0	116	4020	0	0	1	10						1002	95				\image\item\wenshi\emb_cap16a1.spr	\image\item\wenshi\emb_cap16a0.spr	ThiÕu L©m Tôc Gia - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	2		999
V« TrÇn Thiªn V¨n	0	116	4030	0	0	2	10						1003	95				\image\item\wenshi\emb_cap17a1.spr	\image\item\wenshi\emb_cap17a0.spr	ThiÕu L©m ThiÒn T¨ng - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	3		999
V« CÊu Thiªn V¨n	0	116	4040	0	0	3	10						1004	95				\image\item\wenshi\emb_cap18a1.spr	\image\item\wenshi\emb_cap18a0.spr	ThiÕu L©m Vâ T«ng - v¨n søc ®Çu cÊp 4		V¨n Søc-®Çu		4	1	1	4		999
