ID	Title	AwrdItem	NeedSex	NeedBody	NeedRoute	AwardTimes	GlobalMsg	ExchangeMode	TimeLimitHours	StatKey
30747	Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0;102;3137;1			3		1	30702		
30748	Cöu Ch©u-NguyÖt Hoa Thñy Béi	0;102;3138;1			3		1	30702		
30749	Cöu Ch©u-NguyÖt Hoa Thñy Béi	0;102;3139;1			4		1	30702		
30750	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3140;1			4		1	30702		
30751	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3141;1			6		1	30702		
30752	Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0;102;3142;1			6		1	30702		
30753	Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0;102;3143;1			8		1	30702		
30754	Cöu Ch©u-NguyÖt Hoa Thñy Béi	0;102;3144;1			8		1	30702		
30755	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3145;1			9		1	30702		
30756	Cöu Ch©u-NguyÖt Hoa Thñy Béi	0;102;3146;1			9		1	30702		
30757	Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0;102;3147;1			11		1	30702		
30758	Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0;102;3148;1			11		1	30702		
30759	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3149;1			12		1	30702		
30760	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3150;1			12		1	30702		
30761	Cöu Ch©u-NguyÖt Hoa Thñy Béi	0;102;3151;1			14		1	30702		
30762	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3152;1			14		1	30702		
30763	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3153;1			15		1	30702		
30764	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3154;1			15		1	30702		
30765	Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0;102;3155;1			17		1	30702		
30766	Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0;102;3156;1			17		1	30702		
30767	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3157;1			18		1	30702		
30768	Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0;102;3158;1			18		1	30702		
30769	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3159;1			20		1	30702		
30770	Cöu Ch©u-NguyÖt Hoa Thñy Béi	0;102;3160;1			20		1	30702		
30771	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3161;1			21		1	30702		
30772	Cöu Ch©u-NguyÖt Hoa Thñy Béi	0;102;3162;1			21		1	30702		
30773	Cöu Ch©u-NguyÖt Hoa Thñy Béi	0;102;3163;1			23		1	30702		
30774	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3164;1			23		1	30702		
30775	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3165;1			25		1	30702		
30776	Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0;102;3166;1			25		1	30702		
30777	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3167;1			26		1	30702		
30778	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3168;1			26		1	30702		
30779	Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0;102;3169;1			27		1	30702		
30780	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3170;1			27		1	30702		
30781	Cöu Ch©u-PhØ Thóy Méc §íi	0;102;3171;1			29		1	30702		
30782	Cöu Ch©u-HuyÒn Th¹ch Kim Ngäc	0;102;3172;1			29		1	30702		
30783	Cöu Ch©u-Ng­ng Ngäc Thæ Hoµn	0;102;3173;1			30		1	30702		
30784	Cöu Ch©u-Cöu ¦u Háa Giíi	0;102;3174;1			30		1	30702		
30785	DiÖu D­¬ng-¤ L©n B¶o Giíi	0;102;3176;1					1	30702		
30786	DiÖu D­¬ng-Tö Giao Ngäc Béi	0;102;3178;1					1	30702		
30787	DiÖu D­¬ng-V©n Hæ LÖnh	0;102;3180;1					1	30702		
30788	DiÖu D­¬ng-XÝch T­íc Hoµn	0;102;3182;1					1	30702		
30789	DiÖu D­¬ng-BÝch Quy Liªn	0;102;3184;1					1	30702		
30790	Kim Gi¸p XÝch L©n ThÇn Léc	0;105;10120;1					1	30703	
	
30791	H¹o NguyÖt-§é N¹n T«n Gi¶ M·o	0;103;3064;1	1	1	2		1	30878		
30792	H¹o NguyÖt-§é N¹n T«n Gi¶ M·o	0;103;3065;1	1	2	2		1	30878		
30793	H¹o NguyÖt-§é KiÕp T«n Gi¶ M·o	0;103;3066;1	1	1	4		1	30878		
30794	H¹o NguyÖt-§é KiÕp T«n Gi¶ M·o	0;103;3067;1	1	2	4		1	30878		
30795	H¹o NguyÖt-§é ¸ch T«n Gi¶ M·o	0;103;3068;1	1	1	3		1	30878		
30796	H¹o NguyÖt-§é ¸ch T«n Gi¶ M·o	0;103;3069;1	1	2	3		1	30878		
30797	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Qu¸n	0;103;3070;1	1	1	6		1	30878		
30798	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Qu¸n	0;103;3071;1	1	2	6		1	30878		
30799	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Qu¸n	0;103;3072;1	2	3	6		1	30878		
30800	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Qu¸n	0;103;3073;1	2	4	6		1	30878		
30801	H¹o NguyÖt-PhËt V©n Th¸nh C« Tr©m	0;103;3074;1	2	3	8		1	30878		
30802	H¹o NguyÖt-PhËt V©n Th¸nh C« Tr©m	0;103;3075;1	2	4	8		1	30878		
30803	H¹o NguyÖt-PhËt TrÇn Th¸nh C« Tr©m	0;103;3076;1	2	3	9		1	30878		
30804	H¹o NguyÖt-PhËt TrÇn Th¸nh C« Tr©m	0;103;3077;1	2	4	9		1	30878		
30805	H¹o NguyÖt-Trôc Phông Thiªn C¸i C©n	0;103;3078;1	1	1	11		1	30878		
30806	H¹o NguyÖt-Trôc Phông Thiªn C¸i C©n	0;103;3079;1	1	2	11		1	30878		
30807	H¹o NguyÖt-Trôc Phông Thiªn C¸i C©n	0;103;3080;1	2	3	11		1	30878		
30808	H¹o NguyÖt-Trôc Phông Thiªn C¸i C©n	0;103;3081;1	2	4	11		1	30878		
30809	H¹o NguyÖt-Du Long §Þa KhÊt C©n	0;103;3082;1	1	1	12		1	30878		
30810	H¹o NguyÖt-Du Long §Þa KhÊt C©n	0;103;3083;1	1	2	12		1	30878		
30811	H¹o NguyÖt-Du Long §Þa KhÊt C©n	0;103;3084;1	2	3	12		1	30878		
30812	H¹o NguyÖt-Du Long §Þa KhÊt C©n	0;103;3085;1	2	4	12		1	30878		
30813	H¹o NguyÖt-V« Cùc Thiªn T«n Qu¸n	0;103;3086;1	1	1	14		1	30878		
30814	H¹o NguyÖt-V« Cùc Thiªn T«n Qu¸n	0;103;3087;1	1	2	14		1	30878		
30815	H¹o NguyÖt-V« Cùc Thiªn T«n Qu¸n	0;103;3088;1	2	3	14		1	30878		
30816	H¹o NguyÖt-V« Cùc Thiªn T«n Qu¸n	0;103;3089;1	2	4	14		1	30878		
30817	H¹o NguyÖt-BÝch L¹c Thiªn T«n Qu¸n	0;103;3090;1	1	1	15		1	30878		
30818	H¹o NguyÖt-BÝch L¹c Thiªn T«n Qu¸n	0;103;3091;1	1	2	15		1	30878		
30819	H¹o NguyÖt-BÝch L¹c Thiªn T«n Qu¸n	0;103;3092;1	2	3	15		1	30878		
30820	H¹o NguyÖt-BÝch L¹c Thiªn T«n Qu¸n	0;103;3093;1	2	4	15		1	30878		
30821	H¹o NguyÖt-C¶m Thiªn §Êu Hån Kh«i	0;103;3094;1	1	1	17		1	30878		
30822	H¹o NguyÖt-C¶m Thiªn §Êu Hån Kh«i	0;103;3095;1	1	2	17		1	30878		
30823	H¹o NguyÖt-C¶m Thiªn §Êu Hån Kh«i	0;103;3096;1	2	3	17		1	30878		
30824	H¹o NguyÖt-C¶m Thiªn §Êu Hån Kh«i	0;103;3097;1	2	4	17		1	30878		
30825	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Kh«i	0;103;3098;1	1	1	18		1	30878		
30826	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Kh«i	0;103;3099;1	1	2	18		1	30878		
30827	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Kh«i	0;103;3100;1	2	3	18		1	30878		
30828	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Kh«i	0;103;3101;1	2	4	18		1	30878		
30829	H¹o NguyÖt-Quû Xóc Tµ ThÇn C©n	0;103;3102;1	1	1	20		1	30878		
30830	H¹o NguyÖt-Quû Xóc Tµ ThÇn C©n	0;103;3103;1	1	2	20		1	30878		
30831	H¹o NguyÖt-Quû Xóc Tµ ThÇn C©n	0;103;3104;1	2	3	20		1	30878		
30832	H¹o NguyÖt-Quû Xóc Tµ ThÇn C©n	0;103;3105;1	2	4	20		1	30878		
30833	H¹o NguyÖt-Vu Cèt §éc V­¬ng C©n	0;103;3106;1	1	1	21		1	30878		
30834	H¹o NguyÖt-Vu Cèt §éc V­¬ng C©n	0;103;3107;1	1	2	21		1	30878		
30835	H¹o NguyÖt-Vu Cèt §éc V­¬ng C©n	0;103;3108;1	2	3	21		1	30878		
30836	H¹o NguyÖt-Vu Cèt §éc V­¬ng C©n	0;103;3109;1	2	4	21		1	30878		
30837	H¹o NguyÖt-BÊt §éng Ch©n Tiªn Qu¸n	0;103;3110;1	1	1	23		1	30878		
30838	H¹o NguyÖt-BÊt §éng Ch©n Tiªn Qu¸n	0;103;3111;1	1	2	23		1	30878		
30839	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn C©n	0;103;3112;1	1	1	25		1	30878		
30840	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn C©n	0;103;3113;1	1	2	25		1	30878		
30841	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn C©n	0;103;3114;1	2	3	25		1	30878		
30842	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn C©n	0;103;3115;1	2	4	25		1	30878		
30843	H¹o NguyÖt-Cöu Thiªn Quû Phï Qu¸n	0;103;3116;1	1	1	26		1	30878		
30844	H¹o NguyÖt-Cöu Thiªn Quû Phï Qu¸n	0;103;3117;1	1	2	26		1	30878		
30845	H¹o NguyÖt-Cöu Thiªn Quû Phï Qu¸n	0;103;3118;1	2	3	26		1	30878		
30846	H¹o NguyÖt-Cöu Thiªn Quû Phï Qu¸n	0;103;3119;1	2	4	26		1	30878		
30847	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Qu¸n	0;103;3120;1	1	1	27		1	30878		
30848	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Qu¸n	0;103;3121;1	1	2	27		1	30878		
30849	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Qu¸n	0;103;3122;1	2	3	27		1	30878		
30850	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Qu¸n	0;103;3123;1	2	4	27		1	30878		
30851	H¹o NguyÖt-Tª V©n Tiªn Tö Tr©m	0;103;3124;1	2	3	29		1	30878		
30852	H¹o NguyÖt-Tª V©n Tiªn Tö Tr©m	0;103;3125;1	2	4	29		1	30878		
30853	H¹o NguyÖt-Phi H¹ Tiªn Tö Tr©m	0;103;3126;1	2	3	30		1	30878		
30854	H¹o NguyÖt-Phi H¹ Tiªn Tö Tr©m	0;103;3127;1	2	4	30		1	30878		
30855	H¹o NguyÖt-§é N¹n T«n Gi¶ Bµo	0;100;3064;1	1	1	2		1	30878		
30856	H¹o NguyÖt-§é N¹n T«n Gi¶ Bµo	0;100;3065;1	1	2	2		1	30878		
30857	H¹o NguyÖt-§é KiÕp T«n Gi¶ Bµo	0;100;3066;1	1	1	4		1	30878		
30858	H¹o NguyÖt-§é KiÕp T«n Gi¶ Bµo	0;100;3067;1	1	2	4		1	30878		
30859	H¹o NguyÖt-§é ¸ch T«n Gi¶ Bµo	0;100;3068;1	1	1	3		1	30878		
30860	H¹o NguyÖt-§é ¸ch T«n Gi¶ Bµo	0;100;3069;1	1	2	3		1	30878		
30861	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Y	0;100;3070;1	1	1	6		1	30878		
30862	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Y	0;100;3071;1	1	2	6		1	30878		
30863	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Y	0;100;3072;1	2	3	6		1	30878		
30864	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Y	0;100;3073;1	2	4	6		1	30878		
30865	H¹o NguyÖt-PhËt V©n Th¸nh C« Y	0;100;3074;1	2	3	8		1	30878		
30866	H¹o NguyÖt-PhËt V©n Th¸nh C« Y	0;100;3075;1	2	4	8		1	30878		
30867	H¹o NguyÖt-PhËt TrÇn Th¸nh C« Y	0;100;3076;1	2	3	9		1	30878		
30868	H¹o NguyÖt-PhËt TrÇn Th¸nh C« Y	0;100;3077;1	2	4	9		1	30878		
30869	H¹o NguyÖt-Trôc Phông Thiªn C¸i Y	0;100;3078;1	1	1	11		1	30878		
30870	H¹o NguyÖt-Trôc Phông Thiªn C¸i Y	0;100;3079;1	1	2	11		1	30878		
30871	H¹o NguyÖt-Trôc Phông Thiªn C¸i Y	0;100;3080;1	2	3	11		1	30878		
30872	H¹o NguyÖt-Trôc Phông Thiªn C¸i Y	0;100;3081;1	2	4	11		1	30878		
30873	H¹o NguyÖt-Du Long §Þa KhÊt Y	0;100;3082;1	1	1	12		1	30878		
30874	H¹o NguyÖt-Du Long §Þa KhÊt Y	0;100;3083;1	1	2	12		1	30878		
30875	H¹o NguyÖt-Du Long §Þa KhÊt Y	0;100;3084;1	2	3	12		1	30878		
30876	H¹o NguyÖt-Du Long §Þa KhÊt Y	0;100;3085;1	2	4	12		1	30878		
30877	H¹o NguyÖt-V« Cùc Thiªn T«n Bµo	0;100;3086;1	1	1	14		1	30878		
30878	H¹o NguyÖt-V« Cùc Thiªn T«n Bµo	0;100;3087;1	1	2	14		1	30878		
30879	H¹o NguyÖt-V« Cùc Thiªn T«n Bµo	0;100;3088;1	2	3	14		1	30878		
30880	H¹o NguyÖt-V« Cùc Thiªn T«n Bµo	0;100;3089;1	2	4	14		1	30878		
30881	H¹o NguyÖt-BÝch L¹c Thiªn T«n Bµo	0;100;3090;1	1	1	15		1	30878		
30882	H¹o NguyÖt-BÝch L¹c Thiªn T«n Bµo	0;100;3091;1	1	2	15		1	30878		
30883	H¹o NguyÖt-BÝch L¹c Thiªn T«n Bµo	0;100;3092;1	2	3	15		1	30878		
30884	H¹o NguyÖt-BÝch L¹c Thiªn T«n Bµo	0;100;3093;1	2	4	15		1	30878		
30885	H¹o NguyÖt-C¶m Thiªn §Êu Hån Gi¸p	0;100;3094;1	1	1	17		1	30878		
30886	H¹o NguyÖt-C¶m Thiªn §Êu Hån Gi¸p	0;100;3095;1	1	2	17		1	30878		
30887	H¹o NguyÖt-C¶m Thiªn §Êu Hån Gi¸p	0;100;3096;1	2	3	17		1	30878		
30888	H¹o NguyÖt-C¶m Thiªn §Êu Hån Gi¸p	0;100;3097;1	2	4	17		1	30878		
30889	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Gi¸p	0;100;3098;1	1	1	18		1	30878		
30890	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Gi¸p	0;100;3099;1	1	2	18		1	30878		
30891	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Gi¸p	0;100;3100;1	2	3	18		1	30878		
30892	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Gi¸p	0;100;3101;1	2	4	18		1	30878		
30893	H¹o NguyÖt-Quû Xóc Tµ ThÇn Y	0;100;3102;1	1	1	20		1	30878		
30894	H¹o NguyÖt-Quû Xóc Tµ ThÇn Y	0;100;3103;1	1	2	20		1	30878		
30895	H¹o NguyÖt-Quû Xóc Tµ ThÇn Y	0;100;3104;1	2	3	20		1	30878		
30896	H¹o NguyÖt-Quû Xóc Tµ ThÇn Y	0;100;3105;1	2	4	20		1	30878		
30897	H¹o NguyÖt-Vu Cèt §éc V­¬ng Y	0;100;3106;1	1	1	21		1	30878		
30898	H¹o NguyÖt-Vu Cèt §éc V­¬ng Y	0;100;3107;1	1	2	21		1	30878		
30899	H¹o NguyÖt-Vu Cèt §éc V­¬ng Y	0;100;3108;1	2	3	21		1	30878		
30900	H¹o NguyÖt-Vu Cèt §éc V­¬ng Y	0;100;3109;1	2	4	21		1	30878		
30901	H¹o NguyÖt-BÊt §éng Ch©n Tiªn Bµo	0;100;3110;1	1	1	23		1	30878		
30902	H¹o NguyÖt-BÊt §éng Ch©n Tiªn Bµo	0;100;3111;1	1	2	23		1	30878		
30903	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Y	0;100;3112;1	1	1	25		1	30878		
30904	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Y	0;100;3113;1	1	2	25		1	30878		
30905	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Y	0;100;3114;1	2	3	25		1	30878		
30906	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Y	0;100;3115;1	2	4	25		1	30878		
30907	H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0;100;3116;1	1	1	26		1	30878		
30908	H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0;100;3117;1	1	2	26		1	30878		
30909	H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0;100;3118;1	2	3	26		1	30878		
30910	H¹o NguyÖt-Cöu Thiªn Quû Phï Bµo	0;100;3119;1	2	4	26		1	30878		
30911	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0;100;3120;1	1	1	27		1	30878		
30912	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0;100;3121;1	1	2	27		1	30878		
30913	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0;100;3122;1	2	3	27		1	30878		
30914	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Bµo	0;100;3123;1	2	4	27		1	30878		
30915	H¹o NguyÖt-Tª V©n Tiªn Tö Y	0;100;3124;1	2	3	29		1	30878		
30916	H¹o NguyÖt-Tª V©n Tiªn Tö Y	0;100;3125;1	2	4	29		1	30878		
30917	H¹o NguyÖt-Phi H¹ Tiªn Tö Y	0;100;3126;1	2	3	30		1	30878		
30918	H¹o NguyÖt-Phi H¹ Tiªn Tö Y	0;100;3127;1	2	4	30		1	30878		
30919	H¹o NguyÖt-§é N¹n T«n Gi¶ Trang	0;101;3064;1	1	1	2		1	30878		
30920	H¹o NguyÖt-§é N¹n T«n Gi¶ Trang	0;101;3065;1	1	2	2		1	30878		
30921	H¹o NguyÖt-§é KiÕp T«n Gi¶ Trang	0;101;3066;1	1	1	4		1	30878		
30922	H¹o NguyÖt-§é KiÕp T«n Gi¶ Trang	0;101;3067;1	1	2	4		1	30878		
30923	H¹o NguyÖt-§é ¸ch T«n Gi¶ Trang	0;101;3068;1	1	1	3		1	30878		
30924	H¹o NguyÖt-§é ¸ch T«n Gi¶ Trang	0;101;3069;1	1	2	3		1	30878		
30925	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Trang	0;101;3070;1	1	1	6		1	30878		
30926	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Trang	0;101;3071;1	1	2	6		1	30878		
30927	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Trang	0;101;3072;1	2	3	6		1	30878		
30928	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Trang	0;101;3073;1	2	4	6		1	30878		
30929	H¹o NguyÖt-PhËt V©n Th¸nh C« QuÇn	0;101;3074;1	2	3	8		1	30878		
30930	H¹o NguyÖt-PhËt V©n Th¸nh C« QuÇn	0;101;3075;1	2	4	8		1	30878		
30931	H¹o NguyÖt-PhËt TrÇn Th¸nh C« QuÇn	0;101;3076;1	2	3	9		1	30878		
30932	H¹o NguyÖt-PhËt TrÇn Th¸nh C« QuÇn	0;101;3077;1	2	4	9		1	30878		
30933	H¹o NguyÖt-Trôc Phông Thiªn C¸i Trang	0;101;3078;1	1	1	11		1	30878		
30934	H¹o NguyÖt-Trôc Phông Thiªn C¸i Trang	0;101;3079;1	1	2	11		1	30878		
30935	H¹o NguyÖt-Trôc Phông Thiªn C¸i Trang	0;101;3080;1	2	3	11		1	30878		
30936	H¹o NguyÖt-Trôc Phông Thiªn C¸i Trang	0;101;3081;1	2	4	11		1	30878		
30937	H¹o NguyÖt-Du Long §Þa KhÊt Trang	0;101;3082;1	1	1	12		1	30878		
30938	H¹o NguyÖt-Du Long §Þa KhÊt Trang	0;101;3083;1	1	2	12		1	30878		
30939	H¹o NguyÖt-Du Long §Þa KhÊt Trang	0;101;3084;1	2	3	12		1	30878		
30940	H¹o NguyÖt-Du Long §Þa KhÊt Trang	0;101;3085;1	2	4	12		1	30878		
30941	H¹o NguyÖt-V« Cùc Thiªn T«n Trang	0;101;3086;1	1	1	14		1	30878		
30942	H¹o NguyÖt-V« Cùc Thiªn T«n Trang	0;101;3087;1	1	2	14		1	30878		
30943	H¹o NguyÖt-V« Cùc Thiªn T«n Trang	0;101;3088;1	2	3	14		1	30878		
30944	H¹o NguyÖt-V« Cùc Thiªn T«n Trang	0;101;3089;1	2	4	14		1	30878		
30945	H¹o NguyÖt-BÝch L¹c Thiªn T«n Trang	0;101;3090;1	1	1	15		1	30878		
30946	H¹o NguyÖt-BÝch L¹c Thiªn T«n Trang	0;101;3091;1	1	2	15		1	30878		
30947	H¹o NguyÖt-BÝch L¹c Thiªn T«n Trang	0;101;3092;1	2	3	15		1	30878		
30948	H¹o NguyÖt-BÝch L¹c Thiªn T«n Trang	0;101;3093;1	2	4	15		1	30878		
30949	H¹o NguyÖt-C¶m Thiªn §Êu Hån Trang	0;101;3094;1	1	1	17		1	30878		
30950	H¹o NguyÖt-C¶m Thiªn §Êu Hån Trang	0;101;3095;1	1	2	17		1	30878		
30951	H¹o NguyÖt-C¶m Thiªn §Êu Hån Trang	0;101;3096;1	2	3	17		1	30878		
30952	H¹o NguyÖt-C¶m Thiªn §Êu Hån Trang	0;101;3097;1	2	4	17		1	30878		
30953	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Trang	0;101;3098;1	1	1	18		1	30878		
30954	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Trang	0;101;3099;1	1	2	18		1	30878		
30955	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Trang	0;101;3100;1	2	3	18		1	30878		
30956	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Trang	0;101;3101;1	2	4	18		1	30878		
30957	H¹o NguyÖt-Quû Xóc Tµ ThÇn Trang	0;101;3102;1	1	1	20		1	30878		
30958	H¹o NguyÖt-Quû Xóc Tµ ThÇn Trang	0;101;3103;1	1	2	20		1	30878		
30959	H¹o NguyÖt-Quû Xóc Tµ ThÇn Trang	0;101;3104;1	2	3	20		1	30878		
30960	H¹o NguyÖt-Quû Xóc Tµ ThÇn Trang	0;101;3105;1	2	4	20		1	30878		
30961	H¹o NguyÖt-Vu Cèt §éc V­¬ng Trang	0;101;3106;1	1	1	21		1	30878		
30962	H¹o NguyÖt-Vu Cèt §éc V­¬ng Trang	0;101;3107;1	1	2	21		1	30878		
30963	H¹o NguyÖt-Vu Cèt §éc V­¬ng Trang	0;101;3108;1	2	3	21		1	30878		
30964	H¹o NguyÖt-Vu Cèt §éc V­¬ng Trang	0;101;3109;1	2	4	21		1	30878		
30965	H¹o NguyÖt-BÊt §éng Ch©n Tiªn Trang	0;101;3110;1	1	1	23		1	30878		
30966	H¹o NguyÖt-BÊt §éng Ch©n Tiªn Trang	0;101;3111;1	1	2	23		1	30878		
30967	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Trang	0;101;3112;1	1	1	25		1	30878		
30968	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Trang	0;101;3113;1	1	2	25		1	30878		
30969	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Trang	0;101;3114;1	2	3	25		1	30878		
30970	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn Trang	0;101;3115;1	2	4	25		1	30878		
30971	H¹o NguyÖt-Cöu Thiªn Quû Phï Trang	0;101;3116;1	1	1	26		1	30878		
30972	H¹o NguyÖt-Cöu Thiªn Quû Phï Trang	0;101;3117;1	1	2	26		1	30878		
30973	H¹o NguyÖt-Cöu Thiªn Quû Phï Trang	0;101;3118;1	2	3	26		1	30878		
30974	H¹o NguyÖt-Cöu Thiªn Quû Phï Trang	0;101;3119;1	2	4	26		1	30878		
30975	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Trang	0;101;3120;1	1	1	27		1	30878		
30976	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Trang	0;101;3121;1	1	2	27		1	30878		
30977	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Trang	0;101;3122;1	2	3	27		1	30878		
30978	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Trang	0;101;3123;1	2	4	27		1	30878		
30979	H¹o NguyÖt-Tª V©n Tiªn Tö QuÇn	0;101;3124;1	2	3	29		1	30878		
30980	H¹o NguyÖt-Tª V©n Tiªn Tö QuÇn	0;101;3125;1	2	4	29		1	30878		
30981	H¹o NguyÖt-Phi H¹ Tiªn Tö 	0;101;3126;1	2	3	30		1	30878		
30982	H¹o NguyÖt-Phi H¹ Tiªn Tö 	0;101;3127;1	2	4	30		1	30878		
30983	H¹o NguyÖt-§é N¹n T«n Gi¶ PhËt §ao	0;3;8972;1			2		1	30879		
30984	H¹o NguyÖt-§é KiÕp T«n Gi¶ PhËt Thñ	0;0;8973;1			4		1	30879		
30985	H¹o NguyÖt-§é ¸ch T«n Gi¶ PhËt Tr­îng	0;8;8974;1			3		1	30879		
30986	H¹o NguyÖt-V¹n KiÕp Th¸nh Thñ Tr©m	0;1;8975;1			6		1	30879		
30987	H¹o NguyÖt-PhËt V©n Th¸nh C« Liªn KiÕm	0;2;8976;1			8		1	30879		
30988	H¹o NguyÖt-PhËt TrÇn Th¸nh C« CÇm	0;10;8977;1			9		1	30879		
30989	H¹o NguyÖt-Trôc Phông Thiªn C¸i Thñ	0;0;8978;1			11		1	30879		
30990	H¹o NguyÖt-Du Long §Þa KhÊt C«n	0;5;8979;1			12		1	30879		
30991	H¹o NguyÖt-V« Cùc Thiªn T«n Tóc KiÕm	0;2;8980;1			14		1	30879		
30992	H¹o NguyÖt-BÝch L¹c Thiªn T«n Bót	0;9;8981;1			15		1	30879		
30993	H¹o NguyÖt-C¶m Thiªn §Êu Hån Th­¬ng	0;6;8982;1			17		1	30879		
30994	H¹o NguyÖt-§Þnh Thiªn ThÇn NghÖ Cung	0;4;8983;1			18		1	30879		
30995	H¹o NguyÖt-Quû Xóc Tµ ThÇn §ao	0;7;8984;1			20		1	30879		
30996	H¹o NguyÖt-Vu Cèt §éc V­¬ng Tr¶o	0;11;8985;1			21		1	30879		
30997	H¹o NguyÖt-BÊt §éng Ch©n Tiªn KiÕm	0;2;8986;1			23		1	30879		
30998	H¹o NguyÖt-Nhôc HuyÕt Cuång ChiÕn §ao	0;3;8987;1			25		1	30879		
30999	H¹o NguyÖt-Cöu Thiªn Quû Phï Bót	0;9;8988;1			26		1	30879		
31000	H¹o NguyÖt-Ma ¶nh ThÇn T«ng Tr¶o	0;11;8989;1			27		1	30879		
31001	H¹o NguyÖt-Tª V©n Tiªn Tö PhiÕn	0;13;8990;1			29		1	30879		
31002	H¹o NguyÖt-Phi H¹ Tiªn Tö ¦u Lan Tiªu	0;12;8991;1			30		1	30879		
