ID	Tªn kü n¨ng	Giíi thiÖu s¬ l­îc	§¼ng cÊp yªu cÇu	Yªu cÇu kü n¨ng phèi hîp:	Yªu cÇu danh väng
109	Tiªu Dao Du	T©m ph¸p Trung cÊp, t¨ng linh ho¹t khi chiÕn ®Êu	Yªu cÇu ®¼ng cÊp: 17	Yªu cÇu luyÖn thµnh tÇng 2 Hçn Thiªn Khİ C«ng	Yªu cÇu danh väng 60 ®iÓm
110	Lôc Hîp QuyÒn Ph¸p	QuyÒn ph¸p Trung cÊp.<enter>KÕt hîp Hoµnh T¶o Lôc Hîp s¸t th­¬ng sè ®«ng	Yªu cÇu ®¼ng cÊp: 40	Yªu cÇu luyÖn thµnh tÇng 4 B¸ V­¬ng QuyÒn	Yªu cÇu danh väng 700 ®iÓm
111	Tóy §iÖp	T©m ph¸p cao cÊp. <enter>S¸t th­¬ng cùc cao	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 3 Thiªn C©n H¹p	Yªu cÇu danh väng 1000 ®iÓm
112	Tóy QuyÒn	QuyÒn ph¸p cao cÊp. <enter>Ra ®ßn nhanh khiÕn ®èi ph­¬ng kh«ng kŞp trë tay	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 5 B¸ V­¬ng QuyÒn, tÇng 5 Thiªn C©n H¹p, tÇng 6 Táa HÇu CÇm N· Thñ	Yªu cÇu danh väng 3000 ®iÓm
113	Gi¸ng Long ThËp B¸t Ch­ëng	C¸i Bang trÊn ph¸i Ch­ëng ph¸p	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
114	Thiªn Hµnh Khİ C«ng	C¸i Bang ®Ö tö « y nhËp m«n t©m ph¸p, n©ng cao th©n ph¸p			
115	C¸i Bang C«n ph¸p	C¸i Bang C«n ph¸p c¨n b¶n, n©ng cao kü x¶o dïng c«n	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 Thiªn Hµnh Khİ C«ng	
116	Khu Xµ c«n ph¸p	C«n ph¸p s¬ cÊp, liªn tôc xuÊt chiªu	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 C¸i Bang C«n ph¸p	Yªu cÇu danh väng: 30 ®iÓm
117	KhÊt Thiªn Th¶o §Şa	Kü n¨ng s¬ cÊp C¸i Bang.<enter>T¨ng hiÖu qu¶ håi phôc	Yªu cÇu ®¼ng cÊp: 16	Yªu cÇu luyÖn thµnh tÇng 2 Thiªn Hµnh Khİ C«ng	Yªu cÇu danh väng 60 ®iÓm
118	Nª Thu C«ng	T©m ph¸p Trung cÊp. <enter>Di chuyÓn nhanh nhÑn	Yªu cÇu ®¼ng cÊp: 22	Yªu cÇu luyÖn thµnh tÇng 4 C¸i Bang C«n ph¸p	Yªu cÇu danh väng 100 ®iÓm
119	DiÖu Thñ QuyÕt	Kü n¨ng Trung cÊp. <enter>Lµm gi¶m søc chiÕn ®Êu ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 28	Yªu cÇu luyÖn thµnh tÇng 2 KhÊt Thiªn Th¶o §Şa	Yªu cÇu danh väng 300 ®iÓm
120	Th©u Long ChuyÓn Phông	C«ng ph¸p Trung cÊp, trém c«ng ph¸p tõ ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 35	Yªu cÇu luyÖn thµnh tÇng 1 DiÖu Thñ QuyÕt	Yªu cÇu danh väng 500 ®iÓm
121	B¸ V­¬ng T¹ Gi¸p	C«ng ph¸p cao cÊp. <enter>Ph¸ háng phßng cô ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 40	Yªu cÇu luyÖn thµnh tÇng 6 Nª Thu C«ng	Yªu cÇu danh väng 700 ®iÓm
122	Th©u Thiªn Ho¸n NhËt	C«ng ph¸p cao cÊp. <enter>Häc trém chiªu thøc ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 5 DiÖu Thñ QuyÕt	Yªu cÇu danh väng 1000 ®iÓm
123	§¶ CÈu Bæng Ph¸p	C«n ph¸p th­îng thõa, ®¸nh liªn tôc khiÕn ®èi ph­¬ng khã tho¸t	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 6 Khu Xµ C«n ph¸p	Yªu cÇu danh väng 3000 ®iÓm
124	§¶ CÈu c«n ph¸p	C¸i Bang tuyÖt kü trÊn ph¸i.<enter>võa c«ng võa ®¸nh	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
125	Vâ §ang kiÕm kinh	Vâ §ang ®Ö tö ®¹o gia nhËp m«n t©m ph¸p, gióp håi phôc néi khİ			
126	Vâ §ang kiÕm ph¸p	Vâ §ang kiÕm ph¸p c¨n b¶n, dïng KiÕm khİ tÊn c«ng ®­êng th¼ng	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 Vâ §ang KiÕm Kinh	
127	L­u Quang kiÕm ph¸p	Vâ §ang kiÕm ph¸p s¬ cÊp (kim), ®¶ th­¬ng ®èi ph­¬ng theo ®­êng th¼ng	Yªu cÇu ®¼ng cÊp: 15	Yªu cÇu luyÖn thµnh tÇng 3 Vâ §ang KiÕm Ph¸p	Yªu cÇu danh väng 60 ®iÓm
128	VŞ ¦¬ng kiÕm ph¸p	Vâ §ang kiÕm ph¸p s¬ cÊp (méc), tÊn c«ng tÇm xa	Yªu cÇu ®¼ng cÊp: 16	Yªu cÇu luyÖn thµnh tÇng 3 Vâ §ang KiÕm Ph¸p	Yªu cÇu danh väng 60 ®iÓm
129	Nhu V©n kiÕm ph¸p	Vâ §ang kiÕm ph¸p s¬ cÊp (thñy), ®¸nh ®èi ph­¬ng theo ®­êng th¼ng	Yªu cÇu ®¼ng cÊp: 15	Yªu cÇu luyÖn thµnh tÇng 3 Vâ §ang KiÕm Ph¸p	Yªu cÇu danh väng 60 ®iÓm
130	LiÖt DiÖm kiÕm ph¸p	Vâ §ang kiÕm ph¸p s¬ cÊp (háa), ®¸nh ®èi ph­¬ng tÇm xa	Yªu cÇu ®¼ng cÊp: 16	Yªu cÇu luyÖn thµnh tÇng 3 Vâ §ang KiÕm Ph¸p	Yªu cÇu danh väng 60 ®iÓm
131	B«n L«i kiÕm ph¸p	Vâ §ang kiÕm ph¸p s¬ cÊp (thæ).<enter>TÊn c«ng trªn diÖn réng	Yªu cÇu ®¼ng cÊp: 16	Yªu cÇu luyÖn thµnh tÇng 3 Vâ §ang KiÕm Ph¸p	Yªu cÇu danh väng 60 ®iÓm
132	V« Ng· T©m Ph¸p	Vâ §ang ®éc m«n t©m ph¸p, dïng néi khİ chèng l¹i søc tÊn c«ng bªn ngoµi	Yªu cÇu ®¼ng cÊp: 22	Yªu cÇu luyÖn thµnh tÇng 6 Vâ §ang KiÕm Kinh	Yªu cÇu danh väng 100 ®iÓm
133	Th¸i Thanh kiÕm khİ	Vâ §ang kiÕm ph¸p Trung cÊp (Kim).<enter>KiÕm khİ dòng m·nh sµt th­¬ng trong ph¹m vi nhÊt ®Şnh	Yªu cÇu ®¼ng cÊp: 28	Yªu cÇu luyÖn thµnh tÇng 6 L­u Quang KiÕm Ph¸p	Yªu cÇu danh väng 300 ®iÓm
134	TriÒn Méng KiÕm ı	Vâ §ang kiÕm ph¸p Trung cÊp (méc).<enter>KhiÕn ®èi ph­¬ng di chuyÓn chËm ch¹p	Yªu cÇu ®¼ng cÊp: 29	Yªu cÇu luyÖn thµnh tÇng 6 VŞ ¦¬ng KiÕm Ph¸p	Yªu cÇu danh väng 400 ®iÓm
135	L¹c S­¬ng KiÕm ı	Vâ §ang kiÕm ph¸p Trung cÊp (thñy).<enter>KhiÕn ®éng t¸c ®èi ph­¬ng chËm ch¹p	Yªu cÇu ®¼ng cÊp: 29	Yªu cÇu luyÖn thµnh tÇng 6 Nhu V©n KiÕm Ph¸p	Yªu cÇu danh väng 400 ®iÓm
136	Tİch D­¬ng kiÕm khİ	Vâ §ang kiÕm ph¸p Trung cÊp (háa).<enter>KiÕm khİ m¹nh mÏ bao v©y ®èi ph­¬ng	Yªu cÇu ®¼ng cÊp: 28	Yªu cÇu luyÖn thµnh tÇng 6 LiÖt DiÖm KiÕm Ph¸p	Yªu cÇu danh väng 300 ®iÓm
137	HuyÒn Vâ KiÕm TrËn	Vâ §ang kiÕm ph¸p Trung cÊp (thæ).<enter>ChÆn lùc ®¸nh bªn ngoµi	Yªu cÇu ®¼ng cÊp: 30	Yªu cÇu luyÖn thµnh tÇng 6 B«n L«i KiÕm Ph¸p	Yªu cÇu danh väng 500 ®iÓm
138	Ngù KiÕm QuyÕt	Vâ §ang kiÕm ı thÇn bİ, chíp nho¸ng ®Õn n¬i chØ ®Şnh	Yªu cÇu ®¼ng cÊp: 36	Yªu cÇu luyÖn thµnh tÇng 6 Vâ §ang KiÕm Kinh	Yªu cÇu danh väng 600 ®iÓm
139	Chİnh L­ìng Nghi kiÕm ph¸p	Vâ §ang kiÕm ph¸p kú dŞ, uy lùc v« biªn	Yªu cÇu ®¼ng cÊp: 41	Yªu cÇu luyÖn thµnh tÇng 6 Vâ §ang KiÕm Ph¸p	Yªu cÇu danh väng 800 ®iÓm
140	Th¸i Êt Tam Thanh kiÕm	KiÕm ph¸p cao cÊp hÖ Kim<enter>Ph¸t ra 3 ®­êng kiÕm khİ tÊn c«ng	Yªu cÇu ®¼ng cÊp: 46	Yªu cÇu luyÖn thµnh tÇng 5 Th¸i Thanh KiÕm Khİ	Yªu cÇu danh väng 1000 ®iÓm
141	ThÇn m«n thËp tam kiÕm	KiÕm ph¸p cao cÊp hÖ Méc, chíp m¾t xuÊt 13 chiªu kiÕm tÊn c«ng vµo huyÖt ThÇn M«n ®èi ph­¬ng<enter>T¹m thêi v« hiÖu hãa vò khİ cña kÎ ®Şch	Yªu cÇu ®¼ng cÊp: 47	Yªu cÇu luyÖn thµnh tÇng 5 TriÒn Méng KiÕm ı	Yªu cÇu danh väng 1000 ®iÓm
142	HuyÒn ¢m KiÕm	KiÕm ph¸p cao cÊp hÖ Thñy, lÊy ®Şa khİ chÕ ngù kiÕm khİ.<enter>Chİnh x¸c cùc cao	Yªu cÇu ®¼ng cÊp: 46	Yªu cÇu luyÖn thµnh tÇng 5 L¹c S­¬ng KiÕm ı	Yªu cÇu danh väng 1000 ®iÓm
143	ThuÇn D­¬ng KiÕm.	KiÕm ph¸p cao cÊp hÖ Háa.<enter>ThuÇn D­¬ng KiÕm Khİ ph¸t ra, ®øng gÇn khã tr¸nh s¸t th­¬ng	Yªu cÇu ®¼ng cÊp: 47	Yªu cÇu luyÖn thµnh tÇng 5 Tİch D­¬ng KiÕm Khİ	Yªu cÇu danh väng 1000 ®iÓm
144	B¸t Qu¸i KiÕm Khİ	KiÕm ph¸p cao cÊp hÖ Thæ, dïng b¸t qu¸i trËn khãa chÆt kÎ ®Şch.<enter>Cã thÓ g©y ra s¸t th­¬ng lín	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 5 HuyÒn Vò kiÕm trËn	Yªu cÇu danh väng 1000 ®iÓm
145	Ch©n Vò ThÊt TiÖt KiÕm	Vâ §ang kiÕm ph¸p cao cÊp, s¸t th­¬ng diÖn réng<enter>Ng­êi th­êng khã chèng ®ì næi	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 5 Chİnh L­ìng Nghi KiÕm Ph¸p	Yªu cÇu danh väng 3000 ®iÓm
146	V« Th­îng Th¸i Cùc KiÕm	HÊp thu tinh hoa cña trêi ®Êt, uy lùc v« song<enter>	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
147	Vâ §ang Kú Kinh	Vâ §ang tôc gia ®Ö tö nhËp m«n t©m ph¸p, n©ng cao ı chİ chiÕn ®Êu			
148	Vâ §ang Bót ph¸p	Bót ph¸p c¬ b¶n n©ng cao kü x¶o bót ph¸p	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 Vâ §ang Kú Kinh	
149	Th¸i Êt Tiªu Diªu C«ng	Vâ §ang bót ph¸p s¬ cÊp, dïng bót tÊn c«ng kÎ ®Şch ®¬n lÎ	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 Vâ §ang Bót ph¸p	Yªu cÇu danh väng: 30 ®iÓm
150	Lôc Hãa C«ng	Vâ §ang néi c«ng s¬ cÊp, gi¶i ®éc môc tiªu ®¬n lÎ	Yªu cÇu ®¼ng cÊp: 16	Yªu cÇu luyÖn thµnh tÇng 2 Vâ §ang Kú Kinh	Yªu cÇu danh väng 60 ®iÓm
151	ThÕ V©n Tung	Khinh c«ng ®éc m«n, cã thÓ nhanh chãng nh¶y ra phİa sau kÎ ®Şch, tÊn c«ng bÊt ngê	Yªu cÇu ®¼ng cÊp: 21	Yªu cÇu luyÖn thµnh tÇng 1 Lôc Khİ Hãa Ngäc C«ng	Yªu cÇu danh väng 100 ®iÓm
152	ThÊt Tinh QuyÕt	Bót ph¸p Trung cÊp, dïng bót tÊn c«ng kÎ ®Şch trong chíp m¾t	Yªu cÇu ®¼ng cÊp: 25	Yªu cÇu luyÖn thµnh tÇng 6 Vâ §ang Bót ph¸p	Yªu cÇu danh väng 300 ®iÓm
153	ThiÕu D­¬ng quyÕt	Bót ph¸p Trung cÊp, dïng bót phong tÊn c«ng tõ xa	Yªu cÇu ®¼ng cÊp: 29	Yªu cÇu luyÖn thµnh tÇng 3 Th¸i Êt Tiªu Diªu C«ng	Yªu cÇu danh väng 400 ®iÓm
154	ThiÕu ¢m QuyÕt	Bót ph¸p Trung cÊp, uy lùc cùc kú lîi h¹i	Yªu cÇu ®¼ng cÊp: 31	Yªu cÇu luyÖn thµnh tÇng 4 Th¸i Êt Tiªu Diªu C«ng	Yªu cÇu danh väng 500 ®iÓm
155	B¾c §Èu ThÊt Tinh trËn	Vâ §ang trËn ph¸p bİ truyÒn, do nhiÒu ®Ö tö hîp l¹i bµy trËn, uy lùc rÊt m¹nh <enter>	Yªu cÇu ®¼ng cÊp: 36	Yªu cÇu luyÖn thµnh tÇng 3 ThÕ V©n Tung	Yªu cÇu danh väng 600 ®iÓm
156	Tµn ¶nh QuyÕt	Vâ §ang bót ph¸p thÇn bİ, s¸t th­¬ng kÎ ®Şch trong chíp m¾t <enter>	Yªu cÇu ®¼ng cÊp: 42	Yªu cÇu luyÖn thµnh tÇng 4 ThÊt Tinh QuyÕt	Yªu cÇu danh väng 800 ®iÓm
157	Cµn Kh«n QuyÕt	Vâ §ang bót ph¸p cao cÊp, chíp m¾t ®· tiÕn s¸t kÎ ®Şch xuÊt chiªu liªn tôc	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 4 ThÕ V©n Tung	Yªu cÇu danh väng 1000 ®iÓm
158	Th­îng Thanh V« Cùc C«ng	Vâ §ang tuyÖt ®Ønh Bót ph¸p, liªn tôc tÊn c«ng kÎ ®Şch<enter>Mçi chiªu ®Òu tÊn c«ng chİ m¹ng	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 6 ThiÕu D­¬ng quyÕt hoÆc tÇng 6 ThiÕu ¢m quyÕt	Yªu cÇu danh väng 3000 ®iÓm
159	Th¸i Cùc ThÇn C«ng	T©m ph¸p Vâ ®ang trÊn ph¸i, héi tô linh quang trêi ®Êt<enter>C«ng kİch ®Şch thñ trong ph¹m vi réng.	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
347	B¸ch Cæ T©m Kinh	Ngò §éc cæ s­ nhËp m«n t©m ph¸p, gióp håi phôc khİ huyÕt			
348	H¹ Cæ MËt Ph­¬ng	Ngò §éc cæ s­ thñ ph¸p c¨n b¶n, thay ®æi qua l¹i c¸ch bá ng¶i	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 B¸ch Cæ T©m Kinh	
349	óy D­ìng Cæ MÉu	Ngò §éc cæ s­ kü x¶o c¨n b¶n, chØ ®Şnh vËt phÈm nu«i Cæ MÉu	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 B¸ch Cæ T©m Kinh	
350	S¶n Cæ	Ngò §éc cæ s­ kü x¶o c¨n b¶n, ®iÒu khiÓn Cæ MÉu sinh s¶n TiÓu Cæ	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 óy D­ìng Cæ MÉu	
351	Phong Cæ	§éc thuËt c¬ b¶n, tÊn c«ng ®¬n lÎ khiÕn ®èi ph­¬ng mÊt m¸u	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 B¸ch Cæ T©m Kinh	
352	D­ìng Cæ MËt ThuËt	§éc thuËt s¬ cÊp, cã thÓ chÕ t·o nh÷g thùc vËt nu«i Cæ mÉu, n©ng cao ®éc tİnh cña Cæ mÉu	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 óy D­ìng Cæ MÉu	Yªu cÇu danh väng: 30 ®iÓm
353	Cuång Phong Tr¶o	Ngò §éc tr¶o thuËt cÊp thÊp, tung tr¶o nhanh khiÕn ®èi ph­¬ng mÊt m¸u	Yªu cÇu ®¼ng cÊp: 15	Yªu cÇu luyÖn thµnh tÇng 2 Phong Cæ	Yªu cÇu danh väng 50 ®iÓm
354	§éc cæ	§éc thuËt trung cÊp, ®èi ph­¬ng tróng ®éc khã gi¶i	Yªu cÇu ®¼ng cÊp: 17	Yªu cÇu luyÖn thµnh tÇng 3 B¸ch Cæ T©m Kinh	Yªu cÇu danh väng 60 ®iÓm
355	HuyÕt §Ønh C«ng	Ngò §éc t©m ph¸p cÊp thÊp, gióp Cæ MÉu t¨ng tû lÖ sinh TiÓu Cæ	Yªu cÇu ®¼ng cÊp: 21	Yªu cÇu luyÖn thµnh tÇng 4 D­ìng Cæ MËt thuËt	Yªu cÇu danh väng 100 ®iÓm
356	HuyÕt cæ	TuyÖt ®éc! §èi ph­¬ng tróng ®ßn sÏ liªn tôc mÊt m¸u	Yªu cÇu ®¼ng cÊp: 25	Yªu cÇu luyÖn thµnh tÇng 2 §éc Cæ	Yªu cÇu danh väng 200 ®iÓm
357	H­¬ng cæ	§éc phßng tuyÖt kü, ph¶n ®ßn khiÕn kÎ tÊn c«ng m×nh bŞ tª liÖt	Yªu cÇu ®¼ng cÊp: 29	Yªu cÇu luyÖn thµnh tÇng 6 B¸ch Cæ T©m Kinh	Yªu cÇu danh väng 300 ®iÓm
358	Thi cæ	TuyÖt s¸t! §èi ph­¬ng tróng ®ßn cµng xuÊt chiªu sÏ cµng mÊt m¸u!	Yªu cÇu ®¼ng cÊp: 33	Yªu cÇu luyÖn thµnh tÇng 2 HuyÕt Cæ	Yªu cÇu danh väng 500 ®iÓm
359	Yªu cæ	§éc phßng tuyÖt kü, ph¶n ®ßn khiÕn ®èi ph­¬ng tÊn c«ng m×nh mÊt Néi lùc	Yªu cÇu ®¼ng cÊp: 37	Yªu cÇu luyÖn thµnh tÇng 2 H­¬ng Cæ	Yªu cÇu danh väng 600 ®iÓm
360	T©m cæ	TuyÖt s¸t! §èi ph­¬ng tróng ®ßn sÏ kh«ng thÓ tù khèng chÕ m×nh	Yªu cÇu ®¼ng cÊp: 40	Yªu cÇu luyÖn thµnh tÇng 2 Thi Cæ	Yªu cÇu danh väng 700 ®iÓm
361	V¹n Cæ Thùc Thiªn	TuyÖt s¸t! TÊn c«ng hót m¸u toµn bé ®èi ph­¬ng xung quanh	Yªu cÇu ®¼ng cÊp: 44	Yªu cÇu luyÖn thµnh tÇng 6 Cuång Phong Tr¶o	Yªu cÇu danh väng 800 ®iÓm
362	HuyÔn Cæ	Ngò §éc cæ thuËt phßng ngù hÖ huyÕt, TiÓu Cæ g©y hiÖu øng ¶o gi¸c gióp chñ nh©n trèn tho¸t	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 3 Yªu Cæ	Yªu cÇu danh väng 1000 ®iÓm
363	Tµm cæ	TuyÖt s¸t! TÊn c«ng hót m¸u vµ khèng chÕ tèc ®é toµn bé ®èi ph­¬ng xung quanh	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 4 T©m Cæ hoÆc tÇng 4 V¹n Cæ Thùc Thiªn hoÆc tÇng 2 HuyÔn Cæ	Yªu cÇu danh väng 3000 ®iÓm
364	V¹n §éc T©m Ph¸p	Ngò §éc tµ hiÖp nhËp m«n t©m ph¸p, t¨ng tµ khİ c¬ thÓ			
365	Ngò §éc ®ao ph¸p	Ngò §éc ®ao ph¸p c¨n b¶n, n©ng hiÖu qu¶ sö dông song ®ao, ®ång thêi cã tÈm ®éc	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 V¹n §éc T©m Ph¸p	
366	DÉn Hån Chó	Ngò §éc ®éc m«n Tµ chó, ng­êi tróng ph¶i sÏ bŞ c­¬ng thi tÊn c«ng	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 V¹n §éc T©m Ph¸p	
367	Thao Thi ThuËt	Ngò §éc tµ chó cÊp thÊp, biÕn thi thÓ ®éng vËt thµnh c­¬ng thi rÊt khã ®¸nh	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 V¹n §éc T©m Ph¸p	Yªu cÇu danh väng: 30 ®iÓm
368	Thi §éc ThuËt	Ngò §éc bİ thuËt cÊp thÊp, hót khİ ®éc tõ thi thÓ	Yªu cÇu ®¼ng cÊp: 16	Yªu cÇu luyÖn thµnh tÇng 3 V¹n §éc T©m Ph¸p	Yªu cÇu danh väng 50 ®iÓm
369	Thi Béc §¹i Ph¸p	Ngò §éc bİ thuËt cÊp thÊp, lµm næ thi thÓ g©y s¸t th­¬ng xung quanh	Yªu cÇu ®¼ng cÊp: 20	Yªu cÇu luyÖn thµnh tÇng 1 Thi §éc thuËt	Yªu cÇu danh väng 100 ®iÓm
370	T¹p Thi Tµ Khİ	Tµ C«ng trung cÊp, t¨ng sinh lùc cña C­¬ng Thi	Yªu cÇu ®¼ng cÊp: 23	Yªu cÇu luyÖn thµnh tÇng 6 Ngò ®éc §ao ph¸p	Yªu cÇu danh väng 180 ®iÓm
371	Ngù Thi ThuËt	Ngò §éc tµ chó trung cÊp, biÕn thi thÓ ng­êi thµnh c­¬ng thi, lùc ®¸nh cùc m¹nh	Yªu cÇu ®¼ng cÊp: 26	Yªu cÇu luyÖn thµnh tÇng 4 Thao Thi thuËt	Yªu cÇu danh väng 220 ®iÓm
372	V¹n §éc §o¹t MÖnh §ao	Ngò §éc ®ao ph¸p trung cÊp, song ®ao bay l­în, ra ®ßn hiÓm ®éc	Yªu cÇu ®¼ng cÊp: 30	Yªu cÇu luyÖn thµnh tÇng 3 TËp Thi tµ khİ	Yªu cÇu danh väng 300 ®iÓm
373	¢m Tµ HÊp Hån Khİ	Ngò §éc tµ c«ng trung cÊp, hÊp thô ©m khİ trªn c­¬ng thi ®Ó håi phôc c¬ thÓ	Yªu cÇu ®¼ng cÊp: 34	Yªu cÇu luyÖn thµnh tÇng 4 TËp Thi tµ khİ	Yªu cÇu danh väng 500 ®iÓm
374	Th«i Thi Tµ Khİ	Ngò §éc tµ c«ng trung cÊp, dïng néi khİ ®iÒu khiÓn c­¬ng thi tÊn c«ng	Yªu cÇu ®¼ng cÊp: 38	Yªu cÇu luyÖn thµnh tÇng 4 Thi Béc ®¹i ph¸p	Yªu cÇu danh väng 600 ®iÓm
375	Tµ Linh §¹i Ph¸p	Ngò §éc tµ chó cao cÊp, dïng tµ chó ®Ó håi sinh o¸n hån	Yªu cÇu ®¼ng cÊp: 43	Yªu cÇu luyÖn thµnh tÇng 5 Ngù Thi ThuËt	Yªu cÇu danh väng 800 ®iÓm
376	Tµ §éc C«ng	Ngò §éc tµ c«ng cao cÊp, khiÕn thi thÓ håi sinh g©y ®éc s¸t cho ®èi ph­¬ng xung quanh	Yªu cÇu ®¼ng cÊp: 48	Yªu cÇu luyÖn thµnh tÇng 5 V¹n §éc §o¹t MÖnh ®ao hoÆc tÇng 3 ¢m Tµ HÊp Hån Khİ	Yªu cÇu danh väng 1000 ®iÓm
377	Thi LiÖt Ma C«ng	Ngò §éc tµ c«ng cao cÊp, truyÒn tµ khİ khiÕn n¨ng lùc C­¬ng thi t¨ng ®ét biÕn	Yªu cÇu ®¼ng cÊp: 55	Yªu cÇu luyÖn thµnh tÇng 5 Th«i Thi tµ khİ	Yªu cÇu danh väng 3000 ®iÓm
774	V« ¶nh Ma Cæ	Cæ Méc Ngò §éc TrÊn ph¸i, <enter>Lµm cho kÎ tróng th­¬ng ®au ®ín tét cïng.	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
775	V« Thiªn Ma C«ng	Tµ c«ng Ngò ®éc TrÊn ph¸i, lµ ¸c méng cña vâ l©m nh©n sÜ	CÇn ph¶i ®¹t cÊp 80 	Ph¶i häc ®­îc tÊt c¶ vâ c«ng cÊp cao cña bæn ph¸i 	Ph¶i cã 10000 danh väng
720	D­¬ng Gia Th­¬ng T©m Ph¸p	D­¬ng M«n Th­¬ng Kş t©m ph¸p, t¨ng phßng thñ vµ kş thuËt			
721	D­¬ng Gia Th­¬ng Ph¸p Tæng QuyÕt	D­¬ng M«n th­¬ng ph¸p c¬ b¶n, t¨ng lùc tÊn c«ng khi sö dông th­¬ng	Yªu cÇu ®¼ng cÊp: 10	Yªu cÇu luyÖn thµnh tÇng 1 D­¬ng Gia th­¬ng T©m Ph¸p	
722	D­¬ng Gia Ph¸ Phong Th­¬ng	D­¬ng M«n th­¬ng ph¸p s¬ cÊp, liªn tôc tÊn c«ng môc tiªu ®¬n lÎ	Yªu cÇu ®¼ng cÊp: 12	Yªu cÇu luyÖn thµnh tÇng 1 D­¬ng Gia th­¬ng ph¸p tæng quyÕt	Yªu cÇu danh väng: 30 ®iÓm
723	D­¬ng Gia Ngù M· ThuËt	D­¬ng M«n m· thuËt s¬ cÊp, t¨ng phßng thñ khi c­ìi ngùa	Yªu cÇu ®¼ng cÊp: 16	Yªu cÇu luyÖn thµnh tÇng 3 D­¬ng Gia th­¬ng ph¸p tæng quyÕt	Yªu cÇu danh väng 50 ®iÓm
724	D­¬ng Gia B«n Lang Th­¬ng	Th­¬ng ph¸p S¬ cÊp. TÊn c«ng cïng lóc 2 môc tiªu	Yªu cÇu ®¼ng cÊp: 20	Yªu cÇu luyÖn thµnh tÇng 4 D­¬ng Gia th­¬ng ph¸p tæng quyÕt	Yªu cÇu danh väng 100 ®iÓm
725	D­¬ng Gia ChiÕn §Şnh QuyÕt	T©m ph¸p trung cÊp, sõng s÷ng nh­ Th¸i S¬n gi÷a v¹n qu©n	Yªu cÇu ®¼ng cÊp: 24	Yªu cÇu luyÖn thµnh tÇng 6 D­¬ng Gia th­¬ng ph¸p tæng quyÕt	Yªu cÇu danh väng 180 ®iÓm
